Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
22-Oct-2019,"INR 680,812",60.0,Pramod Kashyap,22-Oct-2019 04:44 PM,awardletter.pdf (498.00 KB),C/O link road to village Lasmai( G.P. Ghallian) Km. 0/0 to 2/0,Exective Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,21-Oct-2019 11:30 AM,finsummary_45859.pdf (197.84 KB),Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,19-Oct-2019 05:32 PM,21-Oct-2019 10:30 AM,techsummary_45859.pdf (798.05 KB),PWD,2019_PWD_31874_1,C/O link road to village Lasmai,C/O link road to village Lasmai( G.P. Ghallian) Km. 0/0 to 2/0,1.0,133936.0,Parmjeet Sharma,INR,"730,233",Finance,fin bid,Pramod Kashyap,21-Oct-2019 11:04 AM,finance_45859.pdf,BOQ Comparative Chart,Technical,tech bid openig summary,Pramod Kashyap,17-Oct-2019 11:55 AM,technical_45859.pdf,1.0,134199.0,AJAY VERMA,15-Oct-2019 10:21 PM,Rejected-Finance,L 2,21-Oct-2019 11:30 AM,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,PWD,C/O link road to village Lasmai,2019_PWD_31874_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,03-Oct-2019 10:30 AM,17-Oct-2019 11:00 AM,03-Oct-2019 10:30 AM,17-Oct-2019 10:30 AM,NA ,NA ,03-Oct-2019 10:30 AM,17-Oct-2019 10:30 AM,21-Oct-2019 10:30 AM,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"13,700",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,C/O link road to village Lasmai( G.P. Ghallian) Km. 0/0 to 2/0,P/L Soling in km. 0/0 to 2/0) Under OTMNP Head,Please refer Tender documents. ,NA ,"6,80,812",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,134394.0,ANKUSH SHARMA GOVT CONTRACTOR,16-Oct-2019 08:34 PM,Rejected-Finance,L 4,21-Oct-2019 11:30 AM,AOC,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134396.0,BRAHAM DASS SHARMA,16-Oct-2019 08:34 PM,Rejected-Finance,L 6,21-Oct-2019 11:30 AM,AOC,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,133936.0,Parmjeet Sharma,15-Oct-2019 07:13 PM,Accepted-AOC,L 1,22-Oct-2019 04:44 PM,AOC,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,134387.0,prop banku ram,16-Oct-2019 07:46 PM,Rejected-Finance,L 5,21-Oct-2019 11:30 AM,AOC,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,134409.0,Sanjeev Kumar,17-Oct-2019 08:49 AM,Rejected-Finance,L 3,21-Oct-2019 11:30 AM,AOC,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
