Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Construction of link road to Gujreda, Nlhari Dargod Balhi from Chabutra",Amb Gahra road km 0/0 to 4/0 SH Construction of 5/7 metre Wide road formation cutting at RD 2/270 to 2/750 Under SCSP,Please refer Tender documents. ,NA ,"11,53,698",Civil Works - Roads,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,DD - Demand Draft,"23,100",No,fixed,,EE Hamirpur,EE Hamirpur,EE Hamirpur,Executive Engineer HPPWD Hamirpur,18-Feb-2019 06:00 PM,25-Feb-2019 03:00 PM,18-Feb-2019 06:00 PM,25-Feb-2019 10:30 AM,NA ,NA ,18-Feb-2019 06:00 PM,25-Feb-2019 10:30 AM,02-Mar-2019 05:50 PM,PWD,"C/O Gujreda, Nlhari Dargod Balhi from Chabutra",2019_PWD_27514_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Hamirpur,EE Hamirpur,Yes,AOC,1.0,114902.0,ANITA KUMARI,INR,"861,834",Finance,Attached,Vivek Sharma,25-May-2019 05:13 PM,finance_39181.pdf,BOQ Comparative Chart,1,114902,ANITA KUMARI,23-Feb-2019 05:56 PM,Accepted-AOC,Lowest,08-Oct-2019 10:50 AM,Technical,Attached,Vivek Sharma,27-Feb-2019 05:41 PM,technical_39181.pdf,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,02-Mar-2019 05:46 PM,02-Mar-2019 05:50 PM,techsummary_39181.pdf (292.41 KB),PWD,2019_PWD_27514_1,"C/O Gujreda, Nlhari Dargod Balhi from Chabutra","Construction of link road to Gujreda, Nlhari Dargod Balhi from Chabutra",30-Aug-2019,"INR 1,153,698",60.0,Swaroop Kumar,08-Oct-2019 10:50 AM,AnitaKumariGujredaNihari.pdf (226.00 KB),AOC,EEHamirpur,Internal,SupdtSrDAOAEtoEEHDM,Dev Raj,26-May-2019 04:35 PM,finsummary_39181.pdf (680.92 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,115044,ankush kapil,24-Feb-2019 06:17 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,114900,ASHWANI KUMAR GOVT. CONTRACTOR,23-Feb-2019 06:05 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,113832,KAMAL PATHANIA GOVT.CONTRACTOR,20-Feb-2019 12:41 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,114906,MANOHAR LAL GOVT CONTRACTOR,23-Feb-2019 06:10 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,114867,proprietor,23-Feb-2019 03:57 PM,Rejected-Technical,Rejected,02-Mar-2019 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,115068,RAJNI GOSAIN,24-Feb-2019 07:37 PM,Rejected-Technical,Rejected,02-Mar-2019 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,115047,Sanjay kapil,24-Feb-2019 06:13 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,114818,subhash chand,23-Feb-2019 01:40 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,115067,VIKAS KHAJURIA GOVT CONT,24-Feb-2019 07:29 PM,Rejected-Technical,Rejected,02-Mar-2019 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,115058,VINOD KUMAR,24-Feb-2019 06:34 PM,Rejected-AOC,Higher,08-Oct-2019 10:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
