EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"21,500",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,DD - Demand Draft,500.0,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,PWD,PW/BGN/T-I/2019-20-1576-1605 dt 11.06.2019,2019_PWD_29709_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,28-Jun-2019 05:00 PM,08-Jul-2019 11:30 AM,28-Jun-2019 05:00 PM,06-Jul-2019 05:00 PM,NA ,NA ,28-Jun-2019 05:00 PM,06-Jul-2019 05:00 PM,24-Jul-2019 11:00 AM,Co link road to Village Dadiyar from Una Aghar Mandi roadSH Extension of 500 mtr span RCC slab culvert at RD 0800 Formation cutting at RD 0900 to 1180 and 900 mm Hume pipe culvert at RD 1020 and PL soling wearing MT with seal coat in Km 0300 to 0800,Co link road to Village Dadiyar from Una Aghar Mandi roadSH Extension of 500 mtr span RCC slab culvert at RD 0800 Formation cutting at RD 0900 to 1180 and 900 mm Hume pipe culvert at RD 1020 and PL soling wearing MT with seal coat in Km 0300 to 0800,Please refer Tender documents. ,NA ,"10,62,009",Civil Works - Roads,NA ,Tender,120.0,30.0,Bangana,174309.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,AOC,PWD,2019_PWD_29709_1,PW/BGN/T-I/2019-20-1576-1605 dt 11.06.2019,Co link road to Village Dadiyar from Una Aghar Mandi roadSH Extension of 500 mtr span RCC slab culvert at RD 0800 Formation cutting at RD 0900 to 1180 and 900 mm Hume pipe culvert at RD 1020 and PL soling wearing MT with seal coat in Km 0300 to 0800,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,23-Jul-2019 11:22 AM,24-Jul-2019 11:00 AM,techsummary_42951.pdf (116.43 KB),EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,07-Oct-2019 04:09 PM,finsummary_42951.pdf (196.29 KB),07-Oct-2019,"INR 1,062,009",30.0,Ram Saroop Kalia,07-Oct-2019 04:10 PM,29709.pdf (196.00 KB),Award letter,1.0,123951.0,Kishori Lal Sharma,INR,"1,314,262",Finance,Bid opening summary,Ram Saroop Kalia,07-Oct-2019 04:06 PM,None,BOQ Comparative Chart,1.0,123951.0,Kishori Lal Sharma,06-Jul-2019 01:31 PM,Accepted-AOC,Due to L-1,07-Oct-2019 04:10 PM,Technical,technical evaluation summary,Ram Saroop Kalia,23-Jul-2019 11:20 AM,technical_42951.pdf,AOC
,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123958.0,Ramesh Chand Sharma,06-Jul-2019 02:29 PM,Rejected-Finance,Due to higher side from L-1,07-Oct-2019 04:09 PM,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
