Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,500.0,EE Hamirpur,EE Hamirpur,No,"31,800",No,fixed,,EE Hamirpur,EE Hamirpur,PWD,C/O link road to village Baddu Km. 0/0 to 1/500,2019_PWD_28617_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Hamirpur,Executive Engineer HPPWD HAmirpur,C/O link road to village Baddu Km. 0/0 to 1/500,SH Improvement of gradient at RD. 0/630 to 0/690 and 0/855 to 0/930 C/O C.D. work at various RDS. C/O V-Shape drain and R/wall at RD. 0/853 to 0/868,Please refer Tender documents. ,NA ,"16,16,411",Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,25-Mar-2019 06:00 PM,02-Apr-2019 03:00 PM,25-Mar-2019 06:00 PM,01-Apr-2019 10:30 AM,NA ,NA ,25-Mar-2019 06:00 PM,01-Apr-2019 10:30 AM,10-Apr-2019 10:30 AM,1.0,DD - Demand Draft,AOC,PWD,2019_PWD_28617_1,C/O link road to village Baddu Km. 0/0 to 1/500,C/O link road to village Baddu Km. 0/0 to 1/500,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,09-Apr-2019 06:17 PM,10-Apr-2019 10:30 AM,techsummary_41198.pdf (900.38 KB),EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 10:58 AM,finsummary_41198.pdf (588.99 KB),06-Oct-2019,"INR 1,797,827",90.0,Vivek Sharma,06-Oct-2019 04:25 PM,BadduF.pdf (1447.00 KB),Award,1.0,120212.0,Anil Chandel,31-Mar-2019 03:22 PM,Rejected-AOC,l3,06-Oct-2019 04:25 PM,Technical,Attached,Vivek Sharma,09-Apr-2019 06:14 PM,technical_41198.pdf,Finance,Attached,Vivek Sharma,25-May-2019 03:28 PM,finance_41198.pdf,BOQ Comparative Chart,1.0,120230.0,Divender kumar,INR,"1,798,259",AOC
,,.pdf,Work in hand Certificate shown in Schedule in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,120230.0,Divender kumar,01-Apr-2019 09:43 AM,Accepted-AOC,l1,06-Oct-2019 04:25 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,120209.0,Surjeet Kumar,31-Mar-2019 02:13 PM,Rejected-AOC,l4,06-Oct-2019 04:25 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,120199.0,vipan kumar govt contractor,31-Mar-2019 06:09 PM,Rejected-AOC,l2,06-Oct-2019 04:25 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
