Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer,Internal,TENDER ASSISTANT SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,04-Oct-2019 03:18 PM,finsummary_43759.pdf (497.84 KB),PWD,2019_PWD_30355_11,2499-2550 DATED 16.07.2019,C/O Link road Kuffer Dadar koli ka Bag km 0/0 to 9/00,04-Oct-2019,"INR 285,707",30.0,Rattan Kumar Sharma,04-Oct-2019 03:25 PM,43.pdf (1495.00 KB),AOC,1.0,126973.0,JAGMOHAN CHAUHAN,INR,"394,780",Technical,Summary,Rattan Kumar Sharma,09-Aug-2019 12:55 PM,technical_43759.pdf,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,21-Aug-2019 03:15 PM,21-Aug-2019 03:30 PM,techsummary_43759.pdf (617.09 KB),1.0,126973.0,JAGMOHAN CHAUHAN,06-Aug-2019 08:51 PM,Accepted-AOC,AOC,04-Oct-2019 03:25 PM,Finance,SUMMARY,Rattan Kumar Sharma,25-Aug-2019 11:19 AM,finance_43759.pdf,BOQ Comparative Chart,AOC,25-Jul-2019 04:30 PM,08-Aug-2019 02:00 PM,25-Jul-2019 05:00 PM,07-Aug-2019 05:00 PM,NA ,NA ,25-Jul-2019 05:00 PM,07-Aug-2019 05:00 PM,21-Aug-2019 03:30 PM,C/O Link road Kuffer Dadar koli ka Bag km 0/0 to 9/00,C/o 900 mm dia Hume pipe culvert at RD 2/210) SCSP,Please refer Tender documents. ,NA ,"2,85,707",Civil Works,NA ,Tender,90.0,30.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,PWD,2499-2550 DATED 16.07.2019,2019_PWD_30355_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,"5,700",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126886.0,Joginder Singh,06-Aug-2019 08:16 PM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 03:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,EARNEST MONEY,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,126995.0,SITA RAM,07-Aug-2019 11:08 AM,Rejected-Technical,Not Qualified,21-Aug-2019 03:15 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,126884.0,Vijay Singh Thakur,06-Aug-2019 08:31 AM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 03:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,AOC
