S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT /e-notice/19-20-1810-16 dt 25.06.19,2019_PWD_30066_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of MCH Building at Sunder Nagar Distt.- Mandi HP SH Providing, Installation, testing and commissioning of addressable fire alarm and PA System therein","Construction of MCH Building at Sunder Nagar Distt.- Mandi HP SH Providing, Installation, testing and commissioning of addressable fire alarm and PA System therein",Please refer to NIT and bid document ,NA ,"9,49,700",Electrical Works,NA ,Tender,120.0,365.0,Sunder Nagar,175018.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","19,000",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,10-Jul-2019 10:00 AM,19-Jul-2019 11:30 AM,10-Jul-2019 10:00 AM,19-Jul-2019 10:00 AM,NA ,NA ,10-Jul-2019 10:00 AM,19-Jul-2019 10:00 AM,24-Jul-2019 11:45 AM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,AOC,1.0,125164.0,VERSATILE,INR,"656,600",Finance,Financial bid summary,Dalip singh Patial,25-Jul-2019 04:32 PM,finance_43385.pdf,BOQ Comparative Chart,1.0,125116.0,Acoustic Media Solutions,18-Jul-2019 09:59 PM,Rejected-Technical,Bid non responsive and disqualified,24-Jul-2019 11:24 AM,Technical,technical bid summary,Dalip singh Patial,24-Jul-2019 11:07 AM,technical_43385.pdf,Er Dalip singh Patial EE,Internal,Sh. Jai Ram HDM Smt. Karuna Sharma Superintendent Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,24-Jul-2019 11:24 AM,24-Jul-2019 11:45 AM,techsummary_43385.pdf (396.25 KB),PWD,2019_PWD_30066_1,PW/MED/TA/NIT /e-notice/19-20-1810-16 dt 25.06.19,"Construction of MCH Building at Sunder Nagar Distt.- Mandi HP SH Providing, Installation, testing and commissioning of addressable fire alarm and PA System therein",20-Sep-2019,"INR 656,600",365.0,Dalip singh Patial,05-Oct-2019 04:02 PM,AOC.pdf (618.00 KB),Work awarded to M/s VERSATILE being L1 firm,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,25-Jul-2019 04:46 PM,finsummary_43385.pdf (329.09 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,AOC,,,,,,,,,,,,2.0,124991.0,Modern Agencies,18-Jul-2019 04:09 PM,Rejected-Technical,Bid non responsive and disqualified,24-Jul-2019 11:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM auth. agency of approved OEM / Contractor or firm authorized to execute specialized job,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,AOC,,,,,,,,,,,,3.0,125067.0,TARUN FIRE SYSTEM,18-Jul-2019 03:57 PM,Rejected-Finance,Rejected being L2 firm,25-Jul-2019 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,AOC,,,,,,,,,,,,4.0,125164.0,VERSATILE,18-Jul-2019 10:27 PM,Accepted-AOC,work awarded being L1,05-Oct-2019 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates past 7 yrs as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
