Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
03-Oct-2019,"INR 2,157,945",60.0,Pramod Kashyap,03-Oct-2019 03:30 PM,award.pdf (530.00 KB),C/O and M/T link road to village Ambota to Amboa km. 0/0 to 1/500,EE,Internal,Supdt HDM DAO,Pramod Kashyap,28-Sep-2019 11:26 AM,finsummary_45244.pdf (175.08 KB),EE,Internal,supdt HDM DAO,Anil Kumar Sharma,27-Sep-2019 08:22 PM,28-Sep-2019 11:00 AM,techsummary_45244.pdf (685.27 KB),PWD,2019_PWD_31425_1,C/O and M/T link road to village Ambota to Amboa,C/O and M/T link road to village Ambota to Amboa km. 0/0 to 1/500,Technical,Bid opening summary,Pramod Kashyap,26-Sep-2019 12:19 PM,technical_45244.pdf,1.0,132263.0,ashok Thakur,24-Sep-2019 07:06 PM,Rejected-Finance,L 3,28-Sep-2019 11:26 AM,Finance,fin bid,Pramod Kashyap,28-Sep-2019 11:24 AM,None,BOQ Comparative Chart,1.0,132350.0,Subash Chand,INR,"2,459,280",AOC,C/O and M/T link road to village Ambota to Amboa km. 0/0 to 1/500,"P/L G.S.B. and M/T in km. 0/0 to 0/150,0/230 to 0/580,0/660 to 1/500 and P/L cement concrete pavement at rd. 0/150 to 0/230 and 0/580 to 0/660) Under OTMNP Head",Please refer Tender documents. ,NA ,"21,57,945",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,Labour Licence and Pan Card are necessary required,Other,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,12-Sep-2019 10:30 AM,26-Sep-2019 11:00 AM,12-Sep-2019 10:30 AM,26-Sep-2019 10:30 AM,NA ,NA ,12-Sep-2019 10:30 AM,26-Sep-2019 10:30 AM,28-Sep-2019 11:00 AM,"39,000",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,PWD,C/O and M/T link road to village Ambota to Amboa,2019_PWD_31425_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,132392.0,BRAHAM DASS SHARMA,25-Sep-2019 07:38 PM,Rejected-Finance,L 2,28-Sep-2019 11:26 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,132265.0,KAMAL PATHANIA GOVT.CONTRACTOR,24-Sep-2019 07:21 PM,Rejected-Finance,L 4,28-Sep-2019 11:26 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,132350.0,Subash Chand,25-Sep-2019 04:50 PM,Accepted-AOC,L 1,03-Oct-2019 03:30 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No. alongwith latest clearance return, EPF No. alongwith latest clearance return and Labour",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary (Plant and p,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,AOC
