S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",03-Aug-2019 04:30 PM,19-Aug-2019 02:00 PM,03-Aug-2019 05:00 PM,17-Aug-2019 05:00 PM,NA ,NA ,03-Aug-2019 05:00 PM,17-Aug-2019 05:00 PM,28-Aug-2019 03:00 PM,PWD,2783-2833 Dated 22.07.2019,2019_PWD_30571_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"6,000",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,C/O PHC Building at Barag,C/O Boundary Wall with entrance gate,Please refer Tender documents. ,NA ,"2,77,819",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,AOC,PWD,2019_PWD_30571_8,2783-2833 Dated 22.07.2019,C/O PHC Building at Barag,Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,28-Aug-2019 02:52 PM,28-Aug-2019 03:00 PM,techsummary_44028.pdf (808.12 KB),Executive Engineer,Internal,TENDER ASSISTANT SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,04-Oct-2019 04:13 PM,finsummary_44028.pdf (225.28 KB),04-Oct-2019,"INR 277,819",60.0,Rattan Kumar Sharma,04-Oct-2019 04:21 PM,47.pdf (1178.00 KB),AOC,1.0,128174.0,DHARAM SINGH,17-Aug-2019 02:42 PM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 04:13 PM,Technical,SUMMARY,Rattan Kumar Sharma,25-Aug-2019 11:43 AM,technical_44028.pdf,1.0,128187.0,RAJENDER SINGH,INR,"236,134",Finance,SUMMARY,Rattan Kumar Sharma,31-Aug-2019 11:09 AM,finance_44028.pdf,BOQ Comparative Chart,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,128149.0,JOGINDER SINGH,17-Aug-2019 01:53 PM,Rejected-Technical,Not Qualified,28-Aug-2019 02:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,128187.0,RAJENDER SINGH,17-Aug-2019 03:09 PM,Accepted-AOC,AOC,04-Oct-2019 04:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,128153.0,RAM SAWROOP THAKUR,17-Aug-2019 01:51 PM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,127963.0,SANDEEP KUMAR,16-Aug-2019 01:14 PM,Rejected-Technical,Not Qualified,28-Aug-2019 02:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,128044.0,Virender Pundir,17-Aug-2019 06:08 AM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT CONTRACTOR SHOULD NOT HAVE MORE THAN TWO CONTRACTS AT A TIME EACH OF RS. 100.00 LAC,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
