Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,000",Nil,Nil,No,1.0,ICICI BANK,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,"1,66,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM THROUGH ONLINE,18-Feb-2022 09:00 AM,24-Feb-2022 11:30 AM,18-Feb-2022 09:00 AM,24-Feb-2022 11:00 AM,NA ,NA ,18-Feb-2022 09:00 AM,24-Feb-2022 11:00 AM,08-Mar-2022 11:30 AM,PWD,MANI JHULLARA,2022_PWD_56916_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Mani Jhullara Kuthed road km 0/0 to 11/0,Formation cutting 2.75/5 metres to 5/7 metres wide road km 8/0 to 9/500 including dumping places,Please refer Tender documents. ,NA ,"83,20,358",Civil Works - Roads,NA ,Tender,75.0,90.0,TISSA,176316.0,NA ,NA ,NA ,EXECUTIVE ENGINEER TISSA DIVISION HPPWD TISSA,No ,No,AOC,Executive Engineer,Internal,EE Supdt DB SR Asstt,Joginder Kumar,05-Mar-2022 11:52 AM,08-Mar-2022 11:30 AM,techsummary_85840.pdf (1253.42 KB),PWD,2022_PWD_56916_1,MANI JHULLARA,Construction of Mani Jhullara Kuthed road km 0/0 to 11/0,10-May-2022,"INR 9,397,900",90.0,Joginder Kumar,19-Dec-2022 03:46 PM,AWARD2.pdf (1112.00 KB),SUMMERY,EE,Internal,"EE, AE, SUPDT, HDM",Joginder Kumar,27-Apr-2022 04:43 PM,finsummary_85840.pdf (190.28 KB),1.0,266114.0,Narinder Thakur,23-Feb-2022 06:44 PM,Rejected-Technical,Non responsive,05-Mar-2022 11:52 AM,Technical,Evaluation,Joginder Kumar,05-Mar-2022 11:50 AM,technical_85840.pdf,1.0,265850.0,Suresh Thakur,INR,"7,033,203",Finance,summary,Joginder Kumar,27-Apr-2022 04:36 PM,finance_85840.pdf,BOQ Comparative Chart,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,BID SECURITY THROUGH ONLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,264993.0,Sharma Constructions,23-Feb-2022 01:18 PM,Rejected-Technical,Non responsive,05-Mar-2022 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,LATEST RAGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,265671.0,Sumit Kumar Govt. cont.,22-Feb-2022 06:49 PM,Rejected-Finance,Not L1,27-Apr-2022 04:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST AND PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,265850.0,Suresh Thakur,24-Feb-2022 08:58 AM,Accepted-AOC,L1,19-Dec-2022 03:47 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,AN AFFIDAVIT REGARDING ALL THE BID INFORMATION ARE CORRECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,265987.0,Vinod Thakur,24-Feb-2022 08:31 AM,Rejected-Technical,Non responsive,05-Mar-2022 11:52 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FORM 7 AND 8 DULY SIGNED BY THE CONTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FINANCIAL TURN OVER LAST FIVE YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,WORK DONE 40 PERCENT SIMILAR WORK LAST FIVE YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,LIST OF STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
