Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
PWD,2022_PWD_58294_11,PW-RD-GA-T-18927-19026dt7-3-22,C/O Rehri farm to Kewli km 0/0 to 4/100,PAWAN KUMAR,Internal,AE TO EE,Pawan Kumar Garg,25-Jun-2022 02:34 PM,finsummary_88158.pdf (76.38 KB),1.0,272781.0,Sunil Kumar Dhanda,INR,"936,143",03-Dec-2022,"INR 936,143",60.0,Pawan Kumar Garg,03-Dec-2022 03:08 PM,Balwant.pdf (193.00 KB),AOC,1.0,272799.0,Ravi Rawat,25-Mar-2022 03:54 PM,Rejected-Finance,TENDER AWARDED TO FIRST LOWEST,25-Jun-2022 02:34 PM,PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,29-Mar-2022 10:44 AM,29-Mar-2022 10:45 AM,techsummary_88158.pdf (60.11 KB),Technical,Bid Opening Summary,Duni Chand Chauhan,29-Mar-2022 10:31 AM,technical_88158.pdf,Finance,Bid Opening Summary,Pawan Kumar Garg,29-Mar-2022 11:23 AM,finance_88158.pdf,BOQ Comparative Chart,AOC,500.0,Nil,Nil,No,21-Mar-2022 10:00 AM,28-Mar-2022 10:00 AM,21-Mar-2022 10:00 AM,26-Mar-2022 06:00 PM,NA ,NA ,21-Mar-2022 10:00 AM,26-Mar-2022 06:00 PM,29-Mar-2022 10:45 AM,PWD,PW-RD-GA-T-18927-19026dt7-3-22,2022_PWD_58294_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Rehri farm to Kewli km 0/0 to 4/100,(SH- P/L Kharunja Stone Soling at various RD Between km 0/0 to 0/730),Please refer Tender documents. ,NA ,"9,12,335",Civil Works - Roads,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,1.0,ICICI BANK,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,"18,300",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,272781.0,Sunil Kumar Dhanda,25-Mar-2022 03:30 PM,Accepted-AOC,Work completed,03-Dec-2022 03:09 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compalsory otherwise tender will be rejected,UTR No copy should",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
