S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,Executive Enginer,JSD Rampur,1.0,Fee/PreQual/Technical,.pdf,Registration in HP Jal Shakti Vibhag,"2,500",EE Rampur,Rampur,No,Providing LWSS for various habitations of GP Majholi Tipper and Kaleda Majeothi in Tehsil Rampur,Providing LWSS for various habitations of GP Majholi Tipper and Kaleda Majeothi in Tehsil Rampur,Please refer Tender documents. ,NA ,"3,95,27,839",Civil Works,NA ,Tender,120.0,365.0,Rampur,172001.0,NA ,NA ,NA ,Rampur,No ,No,15-Jun-2022 03:00 PM,22-Jun-2022 10:00 AM,15-Jun-2022 03:00 PM,21-Jun-2022 05:00 PM,NA ,NA ,15-Jun-2022 03:00 PM,21-Jun-2022 05:00 PM,22-Jul-2022 11:35 AM,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",EE-JSD-RMP-E-TEN/21-2658-2708 DT 13.6.22,2022_HPIPH_61722_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"4,27,778",Yes,fixed,,EE Rampur,Rampur,AOC,CE(SZ) Shimla,Internal,EE(D) EE(R) Joint Controller SE (Through VC),Rasbir Singh Negi,22-Jul-2022 11:33 AM,22-Jul-2022 11:35 AM,techsummary_93129.pdf (1447.82 KB),1.0,287769.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,21-Jun-2022 01:48 PM,Rejected-AOC,Rejected,31-Dec-2022 11:46 AM,Finance,as approved the tech bids the fin bids of all qualify bidders have been donwloaded by the tender opening committee,Rasbir Singh Negi,22-Jul-2022 12:26 PM,finance_93129.pdf,BOQ Comparative Chart,Technical,3 Nos online bids received and all documents from bidders cover have been downloaded for scrutiny by the tender opening committee,Rasbir Singh Negi,22-Jul-2022 11:22 AM,technical_93129.pdf,31-Dec-2022,"INR 43,284,620",365.0,Rasbir Singh Negi,31-Dec-2022 11:45 AM,majholitipper.pdf (779.00 KB),The bid of Sh. Ojasvi Vijay Bhandari was L-1 hence the work has been awarded to him as per uploaded award work,EE Rampur,Internal,"AE, Supdtt, HDM, DAO, TA",Rasbir Singh Negi,31-Dec-2022 11:01 AM,finsummary_93129.pdf (392.78 KB),1.0,287760.0,OJSVI VIJAY BHANDARI,INR,"43,284,620","HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",2022_HPIPH_61722_1,EE-JSD-RMP-E-TEN/21-2658-2708 DT 13.6.22,Providing LWSS for various habitations of GP Majholi Tipper and Kaleda Majeothi in Tehsil Rampur,AOC
2.0,ICICI NEFT/RTGS,,,,,.pdf,Earnest money and cost of form through online mode or offline mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,287700.0,HYDRAULIC ENGINEERING COMPANY,21-Jun-2022 12:01 PM,Rejected-AOC,Rejected,31-Dec-2022 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Financial turnover during last three years ending 31st march of 30 percent estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,287760.0,OJSVI VIJAY BHANDARI,21-Jun-2022 01:08 PM,Accepted-AOC,Accepted,31-Dec-2022 11:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"workdone of similar nature of work 80 percent 1, 50 percent 2, 40 percent 3 of estimate cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,the contractor submit the certificate of completion or commissioning of work 90 percent awrad amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"Copy of Pan, EPF and GST Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,authorization letter regarding DSC of the person authorized by the registered tednerer upload bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,undertaking regarding study all terms and conditons as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,uplod authrized curve chart along pump nd motor as pr jma 10 prcnt and minus 15 prcnt duty head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
