Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Technical,BOS,Jeet Singh Thakur,23-Apr-2022 04:59 PM,technical_90019.pdf,1.0,278563.0,G.P.ACHARYA,20-Apr-2022 04:01 PM,Rejected-Finance,2nd lowest,30-Dec-2022 05:49 PM,Finance,BOS,Jeet Singh Thakur,06-May-2022 03:58 PM,finance_90019.pdf,BOQ Comparative Chart,1.0,278604.0,M/s R.K Mahajan Govt Contractor,INR,"1,932,125",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,30-Dec-2022 05:49 PM,finsummary_90019.pdf (192.70 KB),30-Dec-2022,"INR 1,845,000",60.0,Jeet Singh Thakur,30-Dec-2022 05:54 PM,4.5076-82dated2.7.2022.pdf (967.00 KB),A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 Providing Patch work in Km. 3/0 to 7/0 with Bitumen paver),PWD,2022_PWD_59487_1,No.PWC- WA-II- 112-211dated 4.4.2022,A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 Providing Patch work in Km. 3/0 to 7/0 with Bitumen paver),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,23-Apr-2022 06:46 PM,25-Apr-2022 11:30 AM,techsummary_90019.pdf (235.10 KB),AOC,13-Apr-2022 10:00 AM,22-Apr-2022 11:30 AM,13-Apr-2022 10:00 AM,21-Apr-2022 05:00 PM,NA ,NA ,13-Apr-2022 10:00 AM,21-Apr-2022 05:00 PM,25-Apr-2022 11:30 AM,PWD,No.PWC- WA-II- 112-211dated 4.4.2022,2022_PWD_59487_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 Providing Patch work in Km. 3/0 to 7/0 with Bitumen paver),A/R and M/O Chamba Khajjiar road Km. 0/0 to 19/0 Providing Patch work in Km. 3/0 to 7/0 with Bitumen paver),Please refer Tender documents. ,NA ,"18,45,000",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Corrigendum,Other,,"36,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,AOC
,,,,,2.0,278604.0,M/s R.K Mahajan Govt Contractor,20-Apr-2022 07:04 PM,Accepted-AOC,Work awarded/vcompleted,30-Dec-2022 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,AOC
,,,,,3.0,278690.0,Nirut Mehta,21-Apr-2022 02:44 PM,Rejected-Finance,3rd lowest,30-Dec-2022 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
