Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer,HPPWD Division Bhoranj,15-Sep-2022 05:00 PM,26-Sep-2022 11:30 AM,15-Sep-2022 05:30 PM,26-Sep-2022 10:00 AM,15-Sep-2022 06:00 PM ,25-Sep-2022 05:00 PM ,15-Sep-2022 06:00 PM,26-Sep-2022 10:00 AM,28-Sep-2022 03:00 PM,Construction of Additional accommodation 6 Nos Class room in GSSS Bhukkar,Construction of 3 nos class room building portion with stair case in first floor level,Please refer Tender documents. ,NA ,"28,12,892",Civil Works - Buildings,NA ,Tender,120.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,"50,000",No,fixed,,Nil,Nil,PWD,PW-Bhoranj(D0 Tender/2022-7204-07 dt. 05.09.2022,2022_PWD_64954_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC,Executive Engineer,Internal,AE Sub Division Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,28-Sep-2022 01:22 PM,28-Sep-2022 03:00 PM,techsummary_97712.pdf (536.02 KB),PWD,2022_PWD_64954_1,PW-Bhoranj(D0 Tender/2022-7204-07 dt. 05.09.2022,Construction of Additional accommodation 6 Nos Class room in GSSS Bhukkar,01-Dec-2022,"INR 2,921,467",90.0,Arvind Lakhanpal,01-Dec-2022 12:10 PM,64954.pdf (719.00 KB),Work awarded to Sh. Shyam lal vide letter No. 8211-17 dt. 29.09.2022,Executive Engineer,Internal,AE Sub Division Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,29-Sep-2022 11:44 AM,finsummary_97712.pdf (444.65 KB),1.0,303757.0,PIAR CHAND GOVT CONTRACTOR,25-Sep-2022 11:40 AM,Rejected-AOC,2nd lowest,01-Dec-2022 12:11 PM,Technical,"Executive Engineer, HPPWD Division Bhoranj AE Sub Division Bhoranj DAO HPPWD Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj",Arvind Lakhanpal,28-Sep-2022 12:57 PM,technical_97712.pdf,Finance,EE HPPWD Division Bhoranj AE Sub Division Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,29-Sep-2022 10:57 AM,finance_97712.pdf,BOQ Comparative Chart,1.0,303784.0,SHYAM LAL GOVT CONT,INR,"2,921,467.15",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,303784.0,SHYAM LAL GOVT CONT,26-Sep-2022 09:49 AM,Accepted-AOC,1st lowest,01-Dec-2022 12:11 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done / Work in hand / Bidding Capacity as per general rules No. 16 and 26.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR return,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furshined with the bid is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
