Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Dr Suresh kumar walia,Internal,AE DAO SUpdt HDM,Ankit Kumar,30-Sep-2022 11:25 AM,finsummary_96925.pdf (191.70 KB),21-Dec-2022,"INR 851,264",90.0,Suresh Kumar Walia,21-Dec-2022 03:36 PM,Award.pdf (159.00 KB),Award,PWD,2022_PWD_64389_1,PWD-Civil-Nagrota Bagwan 02,Construction of Play Ground at village Chandrot in G.P. Chandrot in Distt Kangra (HP) (Deposit work) (SH-Construction of play ground),Dr Suresh kumar walia,Internal,AE DAO HDM Supdt,Ankit Kumar,24-Sep-2022 03:23 PM,26-Sep-2022 10:00 AM,techsummary_96925.pdf (1394.12 KB),Finance,sum,Ankit Kumar,30-Sep-2022 11:23 AM,finance_96925.pdf,BOQ Comparative Chart,1.0,301103.0,AJIT SINGH GOVT CONTRACTOR,INR,"595,974",Technical,SUM,Ankit Kumar,24-Sep-2022 03:19 PM,technical_96925.pdf,1.0,301103.0,AJIT SINGH GOVT CONTRACTOR,14-Sep-2022 05:34 PM,Accepted-AOC,Award,21-Dec-2022 03:37 PM,AOC,Construction of Play Ground at village Chandrot in G.P. Chandrot in Distt Kangra (HP) (Deposit work) (SH-Construction of play ground),Construction of Play Ground at village Chandrot in G.P. Chandrot in Distt Kangra (HP) (Deposit work) (SH-Construction of play ground),Please refer Tender documents. ,NA ,"8,51,264",Civil Works,NA ,Tender,120.0,90.0,Nagrota,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,350.0,Nil,Nil,No,02-Sep-2022 12:10 PM,15-Sep-2022 11:30 AM,02-Sep-2022 12:10 PM,15-Sep-2022 09:00 AM,NA ,NA ,02-Sep-2022 12:10 PM,15-Sep-2022 09:00 AM,26-Sep-2022 10:00 AM,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"17,050",No,fixed,,Nil,Nil,PWD,PWD-Civil-Nagrota Bagwan 02,2022_PWD_64389_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,301253.0,PANKAJ CONSTRUCTION,14-Sep-2022 07:36 PM,Rejected-Technical,Not Fulfill criteria,24-Sep-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,301066.0,Ravinder Kumar,14-Sep-2022 12:42 PM,Rejected-Finance,Lowest 2,30-Sep-2022 11:25 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,301219.0,SUMIT BHARTI,14-Sep-2022 05:53 PM,Rejected-Finance,Lowest 3,30-Sep-2022 11:25 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,301308.0,SUNIL DUTT SHARMA,15-Sep-2022 08:55 AM,Rejected-Technical,Not Fulfill criteria,24-Sep-2022 03:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,AOC
