S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,"30,275",No,fixed,,Nil,Nil,23-Sep-2022 03:00 PM,30-Sep-2022 11:30 AM,23-Sep-2022 03:30 PM,30-Sep-2022 11:00 AM,23-Sep-2022 03:25 PM ,29-Sep-2022 11:00 AM ,23-Sep-2022 03:30 PM,30-Sep-2022 11:00 AM,03-Oct-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,500.0,Nil,Nil,No,Executive Engineer,HPPWD Division Bhoranj,PWD,PW-BHD/Tender/7444-47 dt. 12.09.2022,2022_PWD_65435_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Additional accommodation in GSSS Luddar Tehsil Bhoranj Distt Hamirpur,Construction of 02 nos class rooms building portion with stair case in first floor level,pls refer tender documents  ,NA ,,Civil Works,NA ,Tender,90.0,180.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,AOC,Finance,EE HPPWD Division Bhoranj AE Sub Division Bhoranj HDm DAO Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,07-Oct-2022 02:08 PM,finance_98519.pdf,BOQ Comparative Chart,1.0,304857.0,SHYAM LAL GOVT CONT,INR,"2,055,754",1.0,304857.0,SHYAM LAL GOVT CONT,29-Sep-2022 01:26 PM,Accepted-AOC,L1,01-Dec-2022 02:02 PM,Technical,EE HPPWD Division AE Sub Division Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj,Pramod Kashyap,30-Sep-2022 04:19 PM,technical_98519.pdf,PWD,2022_PWD_65435_1,PW-BHD/Tender/7444-47 dt. 12.09.2022,Construction of Additional accommodation in GSSS Luddar Tehsil Bhoranj Distt Hamirpur,Executive Engineer,Internal,AE Sub Division Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,01-Oct-2022 03:05 PM,03-Oct-2022 11:30 AM,techsummary_98519.pdf (458.56 KB),Executive Engineer,Internal,AE Sub Division Bhoranj HDM DAO Sipdtt GrIi HPPWD Division Bhoranj,Arvind Lakhanpal,07-Oct-2022 02:19 PM,finsummary_98519.pdf (584.48 KB),01-Dec-2022,"INR 2,055,754",180.0,Arvind Lakhanpal,01-Dec-2022 02:01 PM,65435.pdf (874.00 KB),Work awarded to Sh. Shyam Lal vide this office letter No. 8798-8804 dt. 13.10.2022,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,304386.0,Vishal Rana,27-Sep-2022 05:11 PM,Rejected-AOC,L2,01-Dec-2022 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
