S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,184554.0,Rohit,INR,"10,673,226",Finance,As per document attached,Sushil Kumar Dhadwal,09-Nov-2020 12:55 PM,finance_61578.pdf,BOQ Comparative Chart,Technical,As per document attached,Tarlok Dhiman,02-Nov-2020 12:33 PM,technical_61578.pdf,1.0,184555.0,Ashok Kumar,30-Oct-2020 08:35 AM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:03 PM,23-Dec-2022,"INR 10,673,226",365.0,Tarlok Dhiman,23-Dec-2022 06:20 PM,IMG_0002.pdf (523.00 KB),Shri Rohit Sharma VPO Dhagwar,Er. Sushil Dhadwal,Internal,"TENDER ASSISTANT, HDM, SUPERINTENDENT, ACCOUNTANT",Tarlok Dhiman,04-Sep-2022 06:03 PM,finsummary_61578.pdf (536.67 KB),Er S.K.Dhadwal,Internal,Sh. Raj Kumar for DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,09-Nov-2020 12:44 PM,09-Nov-2020 12:45 PM,techsummary_61578.pdf (2972.94 KB),PWD,2020_PWD_41704_1,3749-78 dshala,"Balance work / improvement of Khanyara Kasba, Andrar, Tikkri Tang road KM 0/000 to 9/330 in Distt. Kangra (H.P.)",AOC,"Balance work / improvement of Khanyara Kasba, Andrar, Tikkri Tang road KM 0/000 to 9/330 in Distt. Kangra (H.P.)","SH - Improvement, passing places, R/Walls, missing C.D. work, GSB, WBM-II, WBM-III, tarring work, CC pavement, side drain and parapets between KM 6/430 to 9/330 under RIDF-XXV (NABARD)",Please refer Tender documents. ,NA ,"90,83,279",Civil Works - Roads,NA ,Tender,120.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),17-Oct-2020 11:15 AM,30-Oct-2020 01:00 PM,17-Oct-2020 11:15 AM,30-Oct-2020 12:00 PM,NA ,NA ,17-Oct-2020 11:15 AM,30-Oct-2020 12:00 PM,09-Nov-2020 12:45 PM,Executive Engineer,Executive Engineer HP PWD Dharamshala Division,1.0,DD - Demand Draft,"1,23,340",No,fixed,,EE Dharamshala,Dharamshala,"5,000",EE Dharamshala,Dharamshala,No,PWD,3749-78 dshala,2020_PWD_41704_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,184550.0,NAVNEET SHARMA GOVT. CONTRACTOR,30-Oct-2020 11:13 AM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money duly pledged and updated (Indicated in schedule F),,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,184553.0,Navneet Thakur,29-Oct-2020 10:01 PM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,184501.0,pritam singh thkur,30-Oct-2020 10:07 AM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,184554.0,Rohit,30-Oct-2020 10:13 AM,Accepted-AOC,L1,23-Dec-2022 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,184264.0,Ujjawal Singh,29-Oct-2020 07:15 PM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand certificate in HP PWD duly verified by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
