Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Commissioner,commissioner MC Palampur,25-Jul-2022 05:00 PM,17-Aug-2022 03:00 PM,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,NA ,NA ,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,26-Aug-2022 02:30 PM,500.0,Commissioner,MC Palampur,No,C/O path beside Milap Chand house and Pritam Singh Kharwar house at NihangTika ward no.03,C/O path beside Milap Chand house and Pritam Singh Kharwar house at NihangTika ward no.03,Please refer Tender documents. ,NA ,"9,66,500",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,DD - Demand Draft,"20,000",No,fixed,,Commissioner,MC Palampur,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-4,2022_UDDHP_62979_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,296036.0,AMIT SHARMA,17-Aug-2022 09:38 AM,Accepted-AOC,Being Li,29-Dec-2022 02:09 PM,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,26-Aug-2022 12:38 PM,26-Aug-2022 02:30 PM,techsummary_94973.pdf (367.42 KB),29-Dec-2022,"INR 1,049,046",90.0,Kalyan Bhatt,29-Dec-2022 02:08 PM,CCF_000136.pdf (1010.00 KB),Work Awarded,Technical,bid opening summary,Kalyan Bhatt,25-Aug-2022 01:25 PM,technical_94973.pdf,Finance,Beautification of Shamshan Ghat near Rupayan Guest house in W.no. 08,Kalyan Bhatt,06-Sep-2022 02:50 PM,finance_94973.pdf,BOQ Comparative Chart,Commissioner,Internal,"Joint Commissioner, Assistant Engineer, Junior engineer",Kalyan Bhatt,29-Dec-2022 02:07 PM,finsummary_94973.pdf (611.31 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62979_1,1MC-Palam(1)2022-4,C/O path beside Milap Chand house and Pritam Singh Kharwar house at NihangTika ward no.03,1.0,296036.0,AMIT SHARMA,INR,"1,049,046",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,AOC,2.0,296015.0,M/s OM PARKASH,17-Aug-2022 02:10 AM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,25-Aug-2022 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,AOC,3.0,296023.0,SANJAY SAINI,17-Aug-2022 06:57 AM,Rejected-Finance,Being L2,29-Dec-2022 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,AOC,4.0,295857.0,Tilak Painter,16-Aug-2022 02:12 PM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,25-Aug-2022 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,AOC,5.0,295981.0,TUSHAR GOEL,16-Aug-2022 07:34 PM,Rejected-Finance,Being L3,29-Dec-2022 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
