Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Technical,summary,Arabinda Deb,16-Nov-2022 03:53 PM,technical_42068.pdf,Finance,finance,Arabinda Deb,26-Dec-2022 12:10 PM,finance_42068.pdf,BOQ Comparative Chart,1.0,161123.0,KG ASSOCIATES,INR,11039000.0,Public Works Roads Department,2022_PWD_27375_1,NIT/ACE/EZ/192/2021/17,"Improvement/Strengthening of road from 537th Km of NH-37 to Proposed Group Gathering Station (G.G.S.) at Lakwa Gaon (Length 1.0Km), Demow under OIL Deposit Scheme for the year 2022-23 under PWRD, Sivasagar and Thowra Territorial Road Division under T",Rati Kanta Pegu,Internal,"Simanta Pratim Das, Arabinda Deb",Arabinda Deb,16-Nov-2022 03:58 PM,17-Nov-2022 01:00 PM,techsummary_42068.pdf (336.38 KB),R.K. Pegu,Internal,"A. Deb, S.P. Das",Arabinda Deb,26-Dec-2022 12:19 PM,finsummary_42068.pdf (262.11 KB),1,161165,ADITYA DOWARAH,06-Nov-2022 08:06 PM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,26-Dec-2022,INR 1.1039E+7,270.0,Arabinda Deb,26-Dec-2022 12:22 PM,loa.pdf (262.00 KB),Improvement/Strengthening of road from 537th Km of NH-37 to Proposed Group Gathering Station (G.G.S.) at Lakwa Gaon,AOC,"Addl Chief Engineer, PWD (R), Eastern Zone, Dibru","O/O Addl Chief Engineer, PWD (Roads), Eastern Zone, Dibrugarh","3,300",Nil,Nil,No,"Improvement/Strengthening of road from 537th Km of NH-37 to Proposed Group Gathering Station (G.G.S.) at Lakwa Gaon (Length 1.0Km), Demow under OIL Deposit Scheme for the year 2022-23 under PWRD, Sivasagar and Thowra Territorial Road Division under T","Improvement/Strengthening of road from 537th Km of NH-37 to Proposed Group Gathering Station (G.G.S.) at Lakwa Gaon (Length 1.0Km), Demow under OIL Deposit Scheme for the year 2022-23 under PWRD, Sivasagar and Thowra Territorial Road Division under T",Please refer tender document ,NA ,"1,16,20,000",Civil Works – Roads,NA ,Tender,180.0,270.0,Demow,785663.0,NA ,NA ,NA ,"Addl Chief Engineer, PWD (R), Eastern Zone, Dibru",No ,No,1.0,SBI Bank,19-Oct-2022 02:00 PM,09-Nov-2022 11:00 AM,19-Oct-2022 02:00 PM,07-Nov-2022 03:00 PM,19-Oct-2022 02:00 PM ,07-Nov-2022 03:00 PM ,19-Oct-2022 02:00 PM,07-Nov-2022 03:00 PM,17-Nov-2022 01:00 PM,"2,32,400",Yes,fixed,,Nil,Nil,Public Works Roads Department,NIT/ACE/EZ/192/2021/17,2022_PWD_27375_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid security,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,161109,DIPAK KR NEOG,05-Nov-2022 06:32 PM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,161175,hema chetia,07-Nov-2022 11:12 AM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical qualification details,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,161017,KESHAB GOGOI,07-Nov-2022 11:52 AM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,161123,KG ASSOCIATES,07-Nov-2022 11:21 AM,Accepted-AOC,Aoc awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,161106,MANOJ BASUMATARY,06-Nov-2022 02:42 PM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,161042,MR NIKHILESH GOGOI,07-Nov-2022 01:31 PM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,160790,M/s B.K. Mozika,05-Nov-2022 06:05 PM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,160801,RANJIT BORGOHAIN,07-Nov-2022 11:31 AM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,160589,Rongpur Constructors Pvt. Ltd.,07-Nov-2022 10:55 AM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,160914,SUDARSHAN SONOWAL,04-Nov-2022 04:25 PM,Rejected-Technical,Technical disqualified,16-Nov-2022 03:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,161065,TARUN CHETIA,07-Nov-2022 02:33 PM,Rejected-AOC,Not awarded,26-Dec-2022 12:24 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
