Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Commissioner,Commissioner MC Palampur,1.0,DD - Demand Draft,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-27,2022_UDDHP_60929_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"18,700",No,fixed,,Commissioner,MC Palampur,P/L CC Paver toroad from main Road towards Sanjay Rathor or Tulsi Ram house in W.No 07 Palampur.,P/L CC Paver toroad from main Road towards Sanjay Rathor or Tulsi Ram house in W.No 07 Palampur.,Please refer Tender documents. ,NA ,"9,38,300",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,25-May-2022 05:00 PM,13-Jun-2022 03:00 PM,25-May-2022 05:00 PM,13-Jun-2022 10:30 AM,NA ,NA ,25-May-2022 05:00 PM,13-Jun-2022 10:30 AM,21-Jun-2022 11:30 AM,500.0,Commissioner,MC Palampur,No,AOC,29-Dec-2022,"INR 779,086",90.0,Kalyan Bhatt,29-Dec-2022 04:28 PM,CCF_000152.pdf (1038.00 KB),Work Awarded,Technical,bid opening summary,Kalyan Bhatt,20-Jun-2022 11:00 AM,technical_91987.pdf,Finance,financial bid opening summary,Kalyan Bhatt,22-Jun-2022 11:21 AM,finance_91987.pdf,BOQ Comparative Chart,1.0,286331.0,Manoj Kumar,13-Jun-2022 10:04 AM,Accepted-AOC,being L1,29-Dec-2022 04:29 PM,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,20-Jun-2022 02:46 PM,21-Jun-2022 11:30 AM,techsummary_91987.pdf (433.36 KB),Commissioner,Internal,"Jt. Commissioner , assistant engineer, junior engineer",Kalyan Bhatt,29-Dec-2022 04:28 PM,finsummary_91987.pdf (717.31 KB),1.0,286331.0,Manoj Kumar,INR,"779,086",Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_60929_1,1MC-Palam(1)2022-27,P/L CC Paver toroad from main Road towards Sanjay Rathor or Tulsi Ram house in W.No 07 Palampur.,AOC
,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,286239.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,10-Jun-2022 06:00 PM,Rejected-Finance,Being L2,29-Dec-2022 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,286351.0,TUSHAR GOEL,11-Jun-2022 03:36 PM,Rejected-Finance,Being L3,29-Dec-2022 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
