Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Er. Sushil Dhadwal,Internal,TA/HDM/Superintendent/Accountant,Tarlok Dhiman,24-Dec-2022 07:14 PM,finsummary_59679.pdf (536.66 KB),24-Dec-2022,"INR 10,957,639",365.0,Tarlok Dhiman,24-Dec-2022 07:16 PM,BSNLTELECOM.pdf (315.00 KB),Shri Surinder Sharma,PWD,2020_PWD_40429_2,dshala 1861-90,Construction of road from BSNL telecom Complex (Near Circuit House) to Link with GCDM road near C.E. (KZ) PWD residence km 0/000 to 0/915 (Sanjay Marg ward No. 6) in Distt. Kangra (H.P.),Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,14-Oct-2020 02:47 PM,14-Oct-2020 02:50 PM,techsummary_59679.pdf (801.24 KB),Technical,As per document attached,Sushil Kumar Dhadwal,29-Sep-2020 04:24 PM,technical_59679.pdf,1.0,179713.0,Ashok Kumar,28-Sep-2020 08:49 AM,Rejected-Finance,HIGH BID RATES,24-Dec-2022 07:14 PM,Finance,As per document attached,Sushil Kumar Dhadwal,14-Oct-2020 02:55 PM,finance_59679.pdf,BOQ Comparative Chart,1.0,180094.0,Surinder Sharma Govt Contractor,INR,"10,957,639",AOC,14-Sep-2020 10:00 AM,29-Sep-2020 11:00 AM,14-Sep-2020 10:00 AM,28-Sep-2020 05:00 PM,NA ,NA ,14-Sep-2020 10:00 AM,28-Sep-2020 05:00 PM,14-Oct-2020 02:50 PM,Construction of road from BSNL telecom Complex (Near Circuit House) to Link with GCDM road near C.E. (KZ) PWD residence km 0/000 to 0/915 (Sanjay Marg ward No. 6) in Distt. Kangra (H.P.),"Providing and Laying Cement concrete Pavement, Retaining wall, Edge wall, Service Duct, Culverts, Footpath, railing, Benches and Metal beam Crash Barrier",Please refer Tender documents. ,NA ,"1,07,11,032",Civil Works,NA ,Tender,120.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,dshala 1861-90,2020_PWD_40429_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),"5,000",EE Dharamshala,Dharamshala,No,"1,40,000",No,fixed,,EE Dharamshala,Dharamshala,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,179589.0,MOHINDER SINGH PATHANIA,28-Sep-2020 02:44 PM,Rejected-Technical,Rejected,14-Oct-2020 02:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,179691.0,Navneet Thakur,27-Sep-2020 11:29 AM,Rejected-Finance,HIGH BID RATES,24-Dec-2022 07:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,180060.0,pritam singh thkur,28-Sep-2020 04:04 PM,Rejected-Finance,HIGH BID RATES,24-Dec-2022 07:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,179893.0,Rohit,28-Sep-2020 04:14 PM,Rejected-Finance,HIGH BID RATES,24-Dec-2022 07:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,180097.0,Sanjeev Kumar,28-Sep-2020 04:27 PM,Rejected-Finance,HIGH BID RATES,24-Dec-2022 07:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,180094.0,Surinder Sharma Govt Contractor,28-Sep-2020 04:25 PM,Accepted-AOC,L1,24-Dec-2022 07:16 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,179972.0,Ujjawal Singh,28-Sep-2020 12:48 PM,Rejected-Finance,HIGH BID RATES,24-Dec-2022 07:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet and turnover for the last five years,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,AOC
