Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",Nil,Nil,No,C/O Dakhrantoo Chikli road Km 0/0 to 1/900,Please refer Tender Document,Please refer Tender documents. ,NA ,"75,38,897",Civil Works - Roads,NA ,Tender,120.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,PWD,PW-JD/E-Tender/2020-21 -959-61 DT 29.04.2021,2021_PWD_47311_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,EE JUBBAL,HPPWD JUBBAL,"1,08,000",No,fixed,,Nil,Nil,07-May-2021 04:00 PM,15-May-2021 11:00 AM,07-May-2021 04:00 PM,14-May-2021 06:00 PM,NA ,NA ,07-May-2021 04:00 PM,14-May-2021 06:00 PM,29-Jun-2021 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,AOC,Finance,Bid Opening Summary,Prem Pal Sharma,01-Jul-2021 11:53 AM,finance_71058.pdf,BOQ Comparative Chart,1.0,212105.0,Rakesh Negi,INR,"7,526,167",1.0,212223.0,Arun Negi,13-May-2021 04:52 PM,Rejected-Finance,L2,16-Sep-2021 12:00 PM,Technical,Technical Bid Opening Summary,Prem Pal Sharma,29-Jun-2021 12:40 PM,technical_71058.pdf,PWD,2021_PWD_47311_1,PW-JD/E-Tender/2020-21 -959-61 DT 29.04.2021,C/O Dakhrantoo Chikli road Km 0/0 to 1/900,Er. Ram Singh Thakur,Internal,,Prem Pal Sharma,29-Jun-2021 12:49 PM,29-Jun-2021 01:00 PM,techsummary_71058.pdf (494.80 KB),Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,16-Sep-2021 12:00 PM,finsummary_71058.pdf (487.36 KB),28-Dec-2022,"INR 7,526,167",90.0,Tarsem Singh,28-Dec-2022 11:37 AM,chikliaward.pdf (787.00 KB),Awarded to L-1 bidder,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,AOC,,,,,,,,,,,,2.0,212105.0,Rakesh Negi,11-May-2021 04:39 PM,Accepted-AOC,l-1 bidder,28-Dec-2022 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as per Tender Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
