Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,dshala 4898-4905,2021_PWD_52529_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HP PWD Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,"2,000",Nil,Nil,No,20-Sep-2021 06:55 PM,01-Oct-2021 11:00 AM,20-Sep-2021 06:55 PM,30-Sep-2021 06:55 PM,NA ,NA ,20-Sep-2021 06:55 PM,30-Sep-2021 06:55 PM,08-Oct-2021 10:45 AM,1.0,ICICI BANK,Construction of General Pool acommodation at Dharamsala in Distt. Kangra (Himachal Pradesh),Construction of Type -III Quarter 6 Nos. (1 No. Block) (Building Portion alongwith Water Supply and Sanitary Installation),Please refer Tender documents. ,NA ,"77,03,797",Civil Works - Buildings,NA ,Tender,120.0,450.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,"1,09,550",No,fixed,,Nil,Nil,AOC,1.0,238530.0,Anuj,30-Sep-2021 11:36 AM,Rejected-Finance,Due to higher bidder,12-Oct-2021 10:47 AM,Technical,As per document attached,Sushil Kumar Dhadwal,05-Oct-2021 03:14 PM,technical_78525.pdf,Finance,As per document attached,Sushil Kumar Dhadwal,08-Oct-2021 10:56 AM,finance_78525.pdf,BOQ Comparative Chart,1.0,237648.0,Harbhajan singh,INR,"9,646,542",PWD,2021_PWD_52529_2,dshala 4898-4905,Construction of General Pool acommodation at Dharamsala in Distt. Kangra (Himachal Pradesh),Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,08-Oct-2021 10:44 AM,08-Oct-2021 10:45 AM,techsummary_78525.pdf (2315.98 KB),Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,12-Oct-2021 10:47 AM,finsummary_78525.pdf (174.19 KB),23-Dec-2022,"INR 9,646,542",450.0,Tarlok Dhiman,23-Dec-2022 06:30 PM,IMG_0004.pdf (1024.00 KB),"Shri Harbhajan Singh, VPO Chetru",AOC
,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,237648.0,Harbhajan singh,30-Sep-2021 11:47 AM,Accepted-AOC,L1,23-Dec-2022 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,238602.0,Kapil Sharma,30-Sep-2021 02:07 PM,Rejected-Finance,Due to higher bidder,12-Oct-2021 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,238853.0,KARAN DHADWAL,30-Sep-2021 04:25 PM,Rejected-Finance,Due to higher bidder,12-Oct-2021 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Work in Hand certificate in HPPWD and other agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
