Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
24-Dec-2022,"INR 10,957,639",365.0,Tarlok Dhiman,24-Dec-2022 07:03 PM,BSNLTELECOM.pdf (315.00 KB),sURINDER sHARMA,Er. Sushil Dhadwal,Internal,"TA, HDM, SUPERINTENDENT, ACCOUNTANT",Tarlok Dhiman,04-Sep-2022 06:10 PM,finsummary_59678.pdf (536.67 KB),Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,14-Oct-2020 02:44 PM,14-Oct-2020 02:50 PM,techsummary_59678.pdf (732.02 KB),PWD,2020_PWD_40429_1,dshala 1861-90,"Improvement of Camel track road km 0/000 to 2/600 in tehsil Dharamshala, Distt. Kangra (H.P.)",Technical,As per document attached,Sushil Kumar Dhadwal,29-Sep-2020 04:27 PM,technical_59678.pdf,1.0,179710.0,Ashok Kumar,28-Sep-2020 08:55 AM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:10 PM,Finance,As per document attached,Sushil Kumar Dhadwal,14-Oct-2020 03:01 PM,finance_59678.pdf,BOQ Comparative Chart,1.0,179962.0,Ujjawal Singh,INR,"10,957,639",AOC,1.0,DD - Demand Draft,"Improvement of Camel track road km 0/000 to 2/600 in tehsil Dharamshala, Distt. Kangra (H.P.)","C/o Retaining wall, Breast wall, Cross drainage at various RDs, Side drain, Parapets and Providing and Laying WBM Grading-I and Cobble stone Pavement",Please refer Tender documents. ,NA ,"2,47,43,587",Civil Works,NA ,Tender,120.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,"2,80,000",No,fixed,,EE Dharamshala,Dharamshala,PWD,dshala 1861-90,2020_PWD_40429_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE Dharamshala,Dharamshala,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),14-Sep-2020 10:00 AM,29-Sep-2020 11:00 AM,14-Sep-2020 10:00 AM,28-Sep-2020 05:00 PM,NA ,NA ,14-Sep-2020 10:00 AM,28-Sep-2020 05:00 PM,14-Oct-2020 02:50 PM,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,179593.0,MOHINDER SINGH PATHANIA,28-Sep-2020 02:49 PM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:10 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,179685.0,Navneet Thakur,27-Sep-2020 11:26 AM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,179890.0,Rohit,28-Sep-2020 02:47 PM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,180089.0,Surinder Sharma Govt Contractor,28-Sep-2020 04:53 PM,Rejected-Finance,HIGHER BIDDER,04-Sep-2022 06:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,179962.0,Ujjawal Singh,28-Sep-2020 12:35 PM,Accepted-AOC,L1,24-Dec-2022 07:03 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet and turnover for the last five years,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
