Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62937_1,1MC-Palam(1)2022-28,P/L CC Paver to path from Trilok Chand house to kushalKatoch hose at Bharoon in W.No 7,1.0,296028.0,DOLORARTZ PRIVATE LIMITED,INR,"580,510.05",Commissioner,Internal,"Jt. Commissioner , Assistant Engineer, junior Engineer",Kalyan Bhatt,30-Dec-2022 12:33 PM,finsummary_94912.pdf (400.27 KB),1.0,295902.0,Badrinath govt.contractor,17-Aug-2022 09:05 AM,Not Admitted-Fee/PreQual/Technical,Others-original document not received,23-Aug-2022 10:18 AM,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,24-Aug-2022 01:14 PM,24-Aug-2022 02:30 PM,techsummary_94912.pdf (353.94 KB),30-Dec-2022,"INR 580,510.05",90.0,Kalyan Bhatt,30-Dec-2022 12:35 PM,CCF_000170.pdf (970.00 KB),Work Awarded,Technical,bid opening summary,Kalyan Bhatt,23-Aug-2022 10:18 AM,technical_94912.pdf,Finance,financial bid opening summary,Kalyan Bhatt,24-Aug-2022 04:58 PM,finance_94912.pdf,BOQ Comparative Chart,AOC,25-Jul-2022 05:00 PM,17-Aug-2022 03:00 PM,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,NA ,NA ,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,24-Aug-2022 02:30 PM,500.0,Commissioner,MC Palampur,No,"13,000",No,fixed,,Commissioner,MC Palampur,1.0,DD - Demand Draft,P/L CC Paver to path from Trilok Chand house to kushalKatoch hose at Bharoon in W.No 7,P/L CC Paver to path from Trilok Chand house to kushalKatoch hose at Bharoon in W.No 7,Please refer Tender documents. ,NA ,"6,26,210",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-28,2022_UDDHP_62937_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Commissioner,Commissioner MC Palampur,AOC
,,,,,,,,,,,,,,,2.0,296028.0,DOLORARTZ PRIVATE LIMITED,17-Aug-2022 08:29 AM,Accepted-AOC,Being L1,30-Dec-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,295569.0,Manoj Kumar,17-Aug-2022 09:11 AM,Rejected-Finance,Being L3,30-Dec-2022 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,296020.0,SANJAY SAINI,17-Aug-2022 06:27 AM,Rejected-Finance,Being L2,30-Dec-2022 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5.0,296047.0,TUSHAR GOEL,17-Aug-2022 10:21 AM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,23-Aug-2022 10:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,AOC
