EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,62,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"M/T Dhampu Sach road Km. 0/0 to 1/300 Providing filling work. laying of paver, edge wall and V shape drain","M/T Dhampu Sach road Km. 0/0 to 1/300 Providing filling work. laying of paver, edge wall and V shape drain",Please refer Tender documents. ,NA ,"80,80,731",Civil Works,NA ,Tender,75.0,180.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,"2,000",Nil,Nil,No,14-Oct-2021 05:00 PM,22-Oct-2021 11:30 AM,14-Oct-2021 05:00 PM,21-Oct-2021 05:00 PM,NA ,NA ,14-Oct-2021 05:00 PM,21-Oct-2021 05:00 PM,03-Nov-2021 11:30 AM,PWD,NO.PWC-WA-II 8591-8690 dated 11.8.2021,2021_PWD_52996_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,EE,Internal,Responsive,Jeet Singh Thakur,29-Oct-2021 03:14 PM,03-Nov-2021 11:30 AM,techsummary_79277.pdf (457.36 KB),PWD,2021_PWD_52996_3,NO.PWC-WA-II 8591-8690 dated 11.8.2021,"M/T Dhampu Sach road Km. 0/0 to 1/300 Providing filling work. laying of paver, edge wall and V shape drain",31-Dec-2022,"INR 8,080,731",180.0,Jeet Singh Thakur,31-Dec-2022 11:57 AM,12900AOC.pdf (434.00 KB),"M/T Dhampu Sach road Km. 0/0 to 1/300 Providing filling work. laying of paver, edge wall and V shape drain",EE,Internal,Assistant Engineer superintendent and senior assistant,Jeet Singh Thakur,24-Dec-2021 07:01 PM,finsummary_79277.pdf (289.49 KB),1.0,240883.0,Baba Baijnath Construction,20-Oct-2021 03:39 PM,Rejected-Finance,3th lowest,24-Dec-2021 07:01 PM,Technical,BOS,Jeet Singh Thakur,29-Oct-2021 03:07 PM,technical_79277.pdf,Finance,BOS,Jeet Singh Thakur,18-Nov-2021 05:19 PM,finance_79277.pdf,BOQ Comparative Chart,1.0,240973.0,Kartik Thakur,INR,"6,609,934",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,240823.0,Construction,19-Oct-2021 09:38 PM,Rejected-Finance,5th lowest,24-Dec-2021 07:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,240976.0,DEVESH THAKUR,21-Oct-2021 12:34 PM,Rejected-Finance,2nd lowest,24-Dec-2021 07:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,240973.0,Kartik Thakur,21-Oct-2021 12:56 PM,Accepted-AOC,Work completed,31-Dec-2022 11:58 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,240803.0,Sumit Kumar Govt. cont.,21-Oct-2021 11:15 AM,Rejected-Finance,4th lowest,24-Dec-2021 07:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F ..,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
