Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"2,000",EE Dharamshala,Dharamshala,No,"55,370",No,fixed,,EE Dharamshala,Dharamshala,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HPPWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),Improvement of Black spot on Gaggal Chetru Dharamshala Mecleodganj road Kali mata temple at Kotwali Bazar in Distrct kangra HP,Improvement of Black spot on Gaggal Chetru Dharamshala Mecleodganj road Kali mata temple at Kotwali Bazar in Distrct kangra HP S/H- Construciton of Counterfort RCC retaining wall at RD 13/120 to 13/185,Please refer tender documents ,NA ,"52,86,764",Civil Works - Roads,NA ,Tender,120.0,180.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,30-Sep-2019 04:00 PM,15-Oct-2019 11:30 AM,30-Sep-2019 04:00 PM,15-Oct-2019 11:00 AM,NA ,NA ,30-Sep-2019 04:00 PM,15-Oct-2019 11:00 AM,22-Oct-2019 03:30 PM,PWD,4826-29,2019_PWD_31869_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2019_PWD_31869_1,4826-29,Improvement of Black spot on Gaggal Chetru Dharamshala Mecleodganj road Kali mata temple at Kotwali Bazar in Distrct kangra HP,Er. S.KDhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,22-Oct-2019 03:02 PM,22-Oct-2019 03:30 PM,techsummary_45843.pdf (980.75 KB),Er. Sushil Dhadwal,Internal,Shri Vikramjit Senior DAO Shri Ashok Kumar Superintendent Shri Suresh Kapoor HDM and Shri Vipan Kumar Senior Assistant,Sushil Kumar Dhadwal,14-Nov-2019 06:21 PM,finsummary_45843.pdf (470.33 KB),24-Dec-2022,"INR 5,729,292",180.0,Tarlok Dhiman,24-Dec-2022 07:52 PM,PRITTAM.pdf (221.00 KB),PRITTAM SINGH THAKUR,1.0,134023.0,pritam singh thkur,INR,"5,729,292",Finance,AS PER DOCUMENJT ATTACHED,Sushil Kumar Dhadwal,08-Nov-2019 09:18 AM,finance_45843.pdf,BOQ Comparative Chart,1.0,134122.0,Kapil Sharma,15-Oct-2019 09:37 AM,Rejected-Finance,HIGHER BIDDER,14-Nov-2019 06:21 PM,Technical,Chairman Er S.K.Dhadwal EE Committee Members Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,22-Oct-2019 02:56 PM,technical_45843.pdf,AOC
,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,134119.0,PARDEEP KUMAR,14-Oct-2019 10:05 PM,Rejected-Finance,HIGHER BIDDER,14-Nov-2019 06:21 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134023.0,pritam singh thkur,14-Oct-2019 02:57 PM,Accepted-AOC,L1,24-Dec-2022 07:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,134120.0,Rohit,15-Oct-2019 09:40 AM,Rejected-Finance,HIGHER BIDDER,14-Nov-2019 06:21 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,133911.0,Vinod Kumar,14-Oct-2019 10:57 AM,Rejected-Finance,HIGHER BIDDER,14-Nov-2019 06:21 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,134082.0,Vishwas Rathore,14-Oct-2019 05:18 PM,Rejected-Finance,HIGHER BIDDER,14-Nov-2019 06:21 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
