S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,279476.0,Harbhajan singh,INR,"8,528,819",Finance,As per bid document attached,Tarlok Dhiman,09-May-2022 03:03 PM,finance_90437.pdf,BOQ Comparative Chart,Technical,As per document attached,Tarlok Dhiman,04-May-2022 05:03 PM,technical_90437.pdf,1.0,279795.0,anuj gupta,01-May-2022 04:24 PM,Rejected-Finance,L2,04-Sep-2022 05:33 PM,Er. ANIL NAGPAL,Internal,"TA, HDM, SUPERINTENDENT AND ACCOUNTANT",Tarlok Dhiman,04-Sep-2022 05:33 PM,finsummary_90437.pdf (576.25 KB),23-Dec-2022,"INR 8,528,819",30.0,Tarlok Dhiman,23-Dec-2022 05:49 PM,IMG_0001.pdf (510.00 KB),"HARBHAJAN SINGH, VPO CHETRU",PWD,2022_PWD_59785_1,Dshala 651-80,"Constrcution of Warehouse for storage of Electronic Voting Machines (EVMs) and VVPATs at Dari, Dharamshala in Distt. Kangra, HP",Er Anil Nagpal,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. Ravi Kant Supdt. Smt. Anita Kumari JDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,09-May-2022 02:52 PM,09-May-2022 02:55 PM,techsummary_90437.pdf (473.89 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,PWD,Dshala 651-80,2022_PWD_59785_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Constrcution of Warehouse for storage of Electronic Voting Machines (EVMs) and VVPATs at Dari, Dharamshala in Distt. Kangra, HP","Sub Head - Providing and fixing M.S. Steel racks for VVPATs, Ballot Unit and Control Unit etc)(3rd call)",Please refer Tender documents. ,NA ,"78,17,651",Civil Works,NA ,Tender,75.0,30.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,ICICI BANK,"2,000",Nil,Nil,No,27-Apr-2022 09:00 AM,02-May-2022 11:30 AM,27-Apr-2022 09:00 AM,02-May-2022 11:00 AM,NA ,NA ,27-Apr-2022 09:00 AM,02-May-2022 11:00 AM,09-May-2022 02:55 PM,"1,10,700",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,279476.0,Harbhajan singh,29-Apr-2022 10:36 AM,Accepted-AOC,L1,23-Dec-2022 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Turnover and Balance sheet for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
