Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,21-Nov-2020 12:00 PM,03-Dec-2020 11:30 AM,21-Nov-2020 12:05 PM,03-Dec-2020 11:00 AM,NA ,NA ,21-Nov-2020 12:30 PM,03-Dec-2020 11:00 AM,16-Dec-2020 11:30 AM,PWD,Type-III Quarters for PWD Staff Bhawarna,2020_PWD_42663_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,35,500",No,fixed,,EE Bhawarna,Bhawarna,"5,000",EE Bhawarna,Bhawarna,No,Construction of 6 nos. Type-III quarter for HPPWD employees at Bhawarna Distt. Kangra (HP),"Construction of building portion including W.S and S.I, C/o Rain water harvesting system and C/o Septic tank including soak pit",Please refer Tender documents. ,NA ,"1,02,97,887",Civil Works - Buildings,NA ,Tender,120.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,DD - Demand Draft,AOC,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,16-Dec-2020 10:41 AM,16-Dec-2020 11:30 AM,techsummary_63200.pdf (1081.78 KB),PWD,2020_PWD_42663_1,Type-III Quarters for PWD Staff Bhawarna,Construction of 6 nos. Type-III quarter for HPPWD employees at Bhawarna Distt. Kangra (HP),02-Dec-2022,"INR 15,102,239.85",365.0,Manish Sehgal,02-Dec-2022 03:21 PM,AOC.pdf (1395.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,02-Dec-2022 03:20 PM,finsummary_63200.pdf (133.89 KB),Finance,Summary,Manish Sehgal,02-Dec-2022 03:19 PM,finance_63200.pdf,BOQ Comparative Chart,1.0,190193.0,M/S BALDEV KUMAR GOVT. CONTRACTOR,INR,"13,759,721",1.0,190229.0,AMIT CHOUDHARY,03-Dec-2020 10:35 AM,Rejected-Technical,Non-Responsive,16-Dec-2020 10:45 AM,Technical,Bid opening summary,Manish Sehgal,16-Dec-2020 10:37 AM,technical_63200.pdf,AOC
,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,190236.0,GALAXY ASSOCIATE,03-Dec-2020 10:50 AM,Rejected-Technical,Non-Responsive,16-Dec-2020 10:45 AM,,,,,,AOC
,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,190193.0,M/S BALDEV KUMAR GOVT. CONTRACTOR,02-Dec-2020 05:23 PM,Accepted-AOC,Bidder Rank-L1,02-Dec-2022 03:21 PM,,,,,,AOC
,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,190086.0,PARAS SOOD,03-Dec-2020 10:38 AM,Rejected-Technical,Non-Responsive,16-Dec-2020 10:45 AM,,,,,,AOC
,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,190142.0,Rajeev Sood,03-Dec-2020 09:51 AM,Rejected-Technical,Non-Responsive,16-Dec-2020 10:45 AM,,,,,,AOC
,,.pdf,Work in hand certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,190146.0,vinay kumar gupta,02-Dec-2020 02:10 PM,Rejected-Finance,Bidder Rank-L2,02-Dec-2022 03:20 PM,,,,,,AOC
,,.pdf,Balance Sheet for the last five years duly signed by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
