Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
27-Dec-2022,"INR 43,334,266",365.0,Yogesh Chander,27-Dec-2022 10:45 AM,awardakshet.pdf (263.00 KB),award,EE,Internal,"Supdt, HPDM, TA",Munish Kumar,26-Aug-2022 03:41 PM,finsummary_92719.pdf (163.07 KB),EE,Internal,"sudt, HDM,TA",Munish Kumar,23-Jun-2022 11:12 AM,23-Jun-2022 11:30 AM,techsummary_92719.pdf (394.31 KB),PWD,2022_PWD_61081_2,pw-dpd-cb-tender 4675-77 dt. 23/04/2022,Construction of Thana Jhadiyar Greyoh Rosso road Km.0/0 to 4/600,Technical,sumary,Munish Kumar,23-Jun-2022 11:11 AM,technical_92719.pdf,1.0,286574.0,Himachal Techno Engineers,13-Jun-2022 01:34 PM,Rejected-Finance,refund,26-Aug-2022 03:41 PM,Finance,summary,Yogesh Chander,27-Jun-2022 04:29 PM,None,BOQ Comparative Chart,1.0,286301.0,PARDEEP KUMAR GOVT. CONTRACTOR,INR,"43,334,266",AOC,04-Jun-2022 06:00 PM,14-Jun-2022 11:00 AM,04-Jun-2022 06:00 PM,13-Jun-2022 06:00 PM,NA ,NA ,04-Jun-2022 06:00 PM,13-Jun-2022 06:00 PM,23-Jun-2022 11:30 AM,Construction of Thana Jhadiyar Greyoh Rosso road Km.0/0 to 4/600,"ROFD, R/wall, B/wall, Cross drainage works, Mettaling and tarring, Crash barrier, V-shape Drain, Parapets and Logo and Sign board including five year routine maintenance UNDER NABARD RIDF- XXVII",Please refer Tender documents. ,NA ,"4,21,53,448",Civil Works - Roads,NA ,Tender,75.0,365.0,dharampur,175025.0,NA ,NA ,NA ,dharampur,No ,No,"8,43,000",Yes,fixed,,Nil,Nil,EE Dharampur,HPPWD Dharampur,"5,000",Nil,Nil,Yes,PWD,pw-dpd-cb-tender 4675-77 dt. 23/04/2022,2022_PWD_61081_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286301.0,PARDEEP KUMAR GOVT. CONTRACTOR,13-Jun-2022 10:25 AM,Accepted-AOC,award,27-Dec-2022 10:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. Scanned copy e-Payment /online paymen,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.2 g) and Cl 4.3,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,AOC
