Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
21-Dec-2022,"INR 747,560",60.0,Ramesh Rana,21-Dec-2022 01:33 PM,3.pdf (767.00 KB),XEN,Internal,"XEN, AE to EE, Supdt. Gr-II, HDM",Ramesh Rana,26-Jul-2022 02:16 PM,finsummary_92982.pdf (187.38 KB),Executive Engineer,Internal,"XEN, AE to EE, Supdt. HDM",Ramesh Rana,25-Jun-2022 03:45 PM,25-Jun-2022 03:50 PM,techsummary_92982.pdf (2930.04 KB),PWD,2022_PWD_61612_1,PW-KD-E-Tender/2022-23-2914-16 dt 28-5-2022,C/o Link road to cremation shed at Kotkhai in K.M. 0/00 to 0/700,Technical,SUMMARY UPDATED,Ramesh Rana,25-Jun-2022 03:44 PM,technical_92982.pdf,1.0,286267.0,dinesh,11-Jun-2022 04:13 PM,Rejected-Finance,L2 Bidder,26-Jul-2022 02:16 PM,Finance,SUMMARY UPLOADED,Ramesh Rana,26-Jul-2022 02:13 PM,finance_92982.pdf,BOQ Comparative Chart,1.0,286274.0,sandeep gangta govt contractor,INR,"789,978",AOC,C/o Link road to cremation shed at Kotkhai in K.M. 0/00 to 0/700,"C/o, Wire crate B/Wall at R.D. in K.M. 0/09 to 0/025 and R/Wall at R.D. in K.M. 0/00 to 0/010",Please refer Tender documents. ,NA ,"7,47,560",Civil Works - Roads,NA ,Tender,90.0,60.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,"15,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Kotkhai,PWD,PW-KD-E-Tender/2022-23-2914-16 dt 28-5-2022,2022_PWD_61612_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,10-Jun-2022 09:00 AM,16-Jun-2022 11:00 AM,10-Jun-2022 09:00 AM,15-Jun-2022 06:00 PM,NA ,NA ,10-Jun-2022 09:00 AM,15-Jun-2022 06:00 PM,25-Jun-2022 03:50 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,286274.0,sandeep gangta govt contractor,10-Jun-2022 05:29 PM,Accepted-AOC,Lowest bidder to awarded the work.,21-Dec-2022 01:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
