Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,EE HPPWD Division Bhoranj AE Sub Division Bhoranj HDM DAo Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,07-Oct-2022 02:07 PM,finance_98517.pdf,BOQ Comparative Chart,1.0,305164.0,PIAR CHAND GOVT CONTRACTOR,INR,"2,968,592",Technical,EE HPPWD Division Bhoranj AE Sub Division Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Bhoranj Supdtt GrII HPPWD Division Bhoranj,Pramod Kashyap,30-Sep-2022 04:14 PM,technical_98517.pdf,1.0,304879.0,Amrit Lal,29-Sep-2022 03:05 PM,Rejected-AOC,2nd lowest,01-Dec-2022 01:19 PM,Executive Engineer,Internal,AE Sub Division Bhoranj HDM DAO Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,07-Oct-2022 02:12 PM,finsummary_98517.pdf (584.48 KB),01-Dec-2022,"INR 2,968,592",180.0,Arvind Lakhanpal,01-Dec-2022 01:18 PM,65433.pdf (761.00 KB),Work awarded to Sh. Piar Chand vide letter No. 8791-97 dt. 13.10.2022,PWD,2022_PWD_65433_1,PW-BHD/Tender/7444-47 dt. 12.09.2022,Construction of additional accommodation 03 Nos. class Rooms in GSSS Bahanwin Tehsil Bhoranj Distt Hamirpur,Executive Engineer,Internal,AE Sub Division HPPWD Bhoranj DAO HPPWD Division Bhoranj HDM HPPWD Division Bhoranj Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,01-Oct-2022 03:00 PM,03-Oct-2022 11:30 AM,techsummary_98517.pdf (479.54 KB),AOC,Construction of additional accommodation 03 Nos. class Rooms in GSSS Bahanwin Tehsil Bhoranj Distt Hamirpur,Construction of 03 Nos class rooms with stair case,Pls refer tender documents ,NA ,,Civil Works,NA ,Tender,90.0,180.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,Executive Engineer,HPPWD Division Bhoranj,23-Sep-2022 03:00 PM,30-Sep-2022 11:30 AM,23-Sep-2022 03:25 PM,30-Sep-2022 11:00 AM,23-Sep-2022 03:30 PM ,29-Sep-2022 11:00 AM ,23-Sep-2022 03:30 PM,30-Sep-2022 11:00 AM,03-Oct-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,PW-BHD/Tender/7444-47 dt. 12.09.2022,2022_PWD_65433_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,ICICI BANK,"45,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,305164.0,PIAR CHAND GOVT CONTRACTOR,30-Sep-2022 10:08 AM,Accepted-AOC,1st lowest,01-Dec-2022 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
