Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,Commissioner,MC Palampur,No,Commissioner,Commissioner MC Palampur,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-(17),2022_UDDHP_61133_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,01-Jun-2022 05:00 PM,15-Jun-2022 03:00 PM,01-Jun-2022 05:00 PM,15-Jun-2022 10:30 AM,NA ,NA ,01-Jun-2022 05:00 PM,15-Jun-2022 10:30 AM,05-Jul-2022 02:30 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"16,000",No,fixed,,Commissioner,MC PAlampur,C/o Drain in S.W.M Plant aima in W.no. 04,C/o Drain in S.W.M Plant aima in W.no. 04,Please refer Tender documents. ,NA ,"7,87,300",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,AOC,1.0,286871.0,kamakshi Enterprises,14-Jun-2022 05:47 PM,Accepted-AOC,Being L1,30-Dec-2022 12:14 PM,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,05-Jul-2022 11:45 AM,05-Jul-2022 02:30 PM,techsummary_92270.pdf (386.87 KB),Technical,bid opening summary,Kalyan Bhatt,22-Jun-2022 09:55 AM,technical_92270.pdf,Finance,financial bid opening summary,Trilok Bhatt,05-Jul-2022 02:47 PM,finance_92270.pdf,BOQ Comparative Chart,30-Dec-2022,"INR 840,780",90.0,Kalyan Bhatt,30-Dec-2022 12:13 PM,CCF_000166.pdf (1050.00 KB),Work Awarded,Commissioner,Internal,"Jt. Commissioner, Assistant Engineer, Junior Engineer",Kalyan Bhatt,30-Dec-2022 12:12 PM,finsummary_92270.pdf (486.20 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_61133_1,1MC-Palam(1)2022-(17),C/o Drain in S.W.M Plant aima in W.no. 04,1.0,286871.0,kamakshi Enterprises,INR,"840,780",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,286860.0,TUSHAR GOEL,14-Jun-2022 05:20 PM,Rejected-Finance,Being L2,30-Dec-2022 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
