Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,MC Works/2022-007,2022_UDDHP_56253_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Commissioner,MC Palampur,"20,000",Yes,fixed,,MC Commissioner,Palampur,Providing CC Pavers and tiles to Path from Pati Ram house to Narpat Katoch and Milap chand house at Fradh Road w no 7.,Providing CC Pavers and tiles to Path from Pati Ram house to Narpat Katoch and Milap chand house at Fradh Road w no 7.,Please refer Tender documents. ,NA ,"9,90,000",Civil Works,NA ,Tender,90.0,90.0,MC Palampur,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,DD - Demand Draft,31-Jan-2022 05:00 PM,14-Feb-2022 03:00 PM,31-Jan-2022 05:00 PM,14-Feb-2022 10:00 AM,NA ,NA ,31-Jan-2022 05:00 PM,14-Feb-2022 10:00 AM,19-Feb-2022 03:00 PM,500.0,MC Commissioner,Palampur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC,Commissioner,Internal,"Jt. Commissioner, Assistant engineer, junior Engineer",Kalyan Bhatt,30-Dec-2022 01:12 PM,finsummary_84559.pdf (709.01 KB),1.0,263099.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,INR,"847,274",Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_56253_1,MC Works/2022-007,Providing CC Pavers and tiles to Path from Pati Ram house to Narpat Katoch and Milap chand house at Fradh Road w no 7.,1.0,263237.0,Elakshi Rustagi,13-Feb-2022 06:01 PM,Rejected-Finance,Being L3,30-Dec-2022 01:12 PM,Joint Commissioner,Internal,"Joint Commissioner, Junior Engg. , Accountant",Anand Katoch,18-Feb-2022 06:22 PM,19-Feb-2022 03:00 PM,techsummary_84559.pdf (416.17 KB),30-Dec-2022,"INR 847,274",90.0,Kalyan Bhatt,30-Dec-2022 01:13 PM,CCF_000174.pdf (1003.00 KB),Work Awarded,Technical,Bid Opening Summary,Anand Katoch,18-Feb-2022 03:24 PM,technical_84559.pdf,Finance,Financial Bid Opened,Anand Katoch,19-Feb-2022 03:34 PM,finance_84559.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,AOC,,,,,,,,,,,,,,,,2.0,263099.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,12-Feb-2022 02:01 PM,Accepted-AOC,being L1,30-Dec-2022 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC,,,,,,,,,,,,,,,,3.0,263267.0,SANJAY SAINI,13-Feb-2022 09:37 PM,Rejected-Finance,Being L2,30-Dec-2022 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC,,,,,,,,,,,,,,,,4.0,263195.0,VIJAY KUMAR,13-Feb-2022 12:07 PM,Not Admitted-Fee/PreQual/Technical,Others-OFFLINE DOCUMENTS NOT RECIEVED,18-Feb-2022 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Other important documents as specified by the State in proforma of Schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
