Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,summary attached,Virender Singh Guleria,18-Aug-2021 05:09 PM,None,1.0,222020.0,PRATEEK THAKUR GOVT CONTRACTOR,08-Jul-2021 04:31 PM,Accepted-AOC,L1,06-Dec-2022 02:39 PM,1.0,222020.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"634,147",Finance,Summary attached,Virender Singh Guleria,26-Aug-2021 05:45 PM,finance_74025.pdf,BOQ Comparative Chart,06-Dec-2022,"INR 634,147",90.0,Arvind Lakhanpal,06-Dec-2022 02:38 PM,49417.pdf (575.00 KB),Work awarded to Sh. Parteek Thakur vide letter No. 8037-41 dt. 12.10.2022,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,26-Aug-2021 05:49 PM,finsummary_74025.pdf (856.19 KB),"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,18-Aug-2021 05:11 PM,21-Aug-2021 11:30 AM,techsummary_74025.pdf (1013.95 KB),PWD,2021_PWD_49417_1,C/O link road to village lower Manoh,Construction of link road to village Lower Manoh SH P.L Bitumen Concrete 30 mm thick in Km. 0.0 to 0.600.,AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration REFER GENERAL RULES NO 20,Construction of link road to village Lower Manoh SH P.L Bitumen Concrete 30 mm thick in Km. 0.0 to 0.600.,Construction of link road to village Lower Manoh SH P.L Bitumen Concrete 30 mm thick in Km. 0.0 to 0.600.,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",350.0,Nil,Nil,Yes,PWD,C/O link road to village lower Manoh,2021_PWD_49417_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"13,100",Yes,fixed,,Nil,Nil,03-Jul-2021 04:10 PM,09-Jul-2021 11:30 AM,03-Jul-2021 04:10 PM,09-Jul-2021 10:30 AM,NA ,NA ,03-Jul-2021 04:10 PM,09-Jul-2021 10:30 AM,21-Aug-2021 11:30 AM,AOC
,,,,,2.0,221798.0,S.S.Chauhans Construction Private Limted,08-Jul-2021 03:19 PM,Rejected-AOC,L2,06-Dec-2022 02:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,3.0,222241.0,VIRENDER KUMAR,09-Jul-2021 09:51 AM,Rejected-AOC,L3,06-Dec-2022 02:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29 .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,All documents as scanned and uploaded may be submitted in Division office before opening the bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other information bidder/firm may like to be provided.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
