Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,C.O Basket Ball Ground with Red Sand stone slabs i,2022_PWD_57135_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer Bhoranj Division, HP.PWD., Bhor",Executive Engineer Bhoranj Division HP.PWD. Bhoranj,350.0,Nil,Nil,Yes,"18,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,C.O Basket Ball Ground with Red Sand stone slabs in Govt. Sen. Secondary School Bhareri Tehsil Bhoranj Distt. Hamirpur H.P SH P.L Red sand stone C.O stadium team bench etc,C.O Basket Ball Ground with Red Sand stone slabs in Govt. Sen. Secondary School Bhareri Tehsil Bhoranj Distt. Hamirpur H.P SH P.L Red sand stone C.O stadium team bench etc,Please refer Tender documents. ,NA ,"9,34,727",Civil Works - Buildings,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,26-Feb-2022 05:00 PM,04-Mar-2022 11:30 AM,26-Feb-2022 05:00 PM,04-Mar-2022 10:30 AM,NA ,NA ,26-Feb-2022 05:00 PM,04-Mar-2022 10:30 AM,10-Mar-2022 02:00 PM,AOC,PWD,2022_PWD_57135_1,C.O Basket Ball Ground with Red Sand stone slabs i,C.O Basket Ball Ground with Red Sand stone slabs in Govt. Sen. Secondary School Bhareri Tehsil Bhoranj Distt. Hamirpur H.P SH P.L Red sand stone C.O stadium team bench etc,Executive Engineer Bhoranj Division,Internal,Supdt HDM DAO AE,Arvind Lakhanpal,10-Mar-2022 01:05 PM,10-Mar-2022 02:00 PM,techsummary_86432.pdf (917.34 KB),Executive Engineer,Internal,EE DAO HDM Supdtt Gr II HPPWD Bhoranj,Arvind Lakhanpal,06-Dec-2022 02:54 PM,finsummary_86432.pdf (422.41 KB),06-Dec-2022,"INR 1,037,254",90.0,Arvind Lakhanpal,06-Dec-2022 02:58 PM,57135.pdf (1029.00 KB),Work awarded to Sh. Parteek Thakur vide letter No. 997-1003 dt. 30.04.2022,Finance,EE HDM DAO Supdtt GrII HPPWD Division Bhoranj,Arvind Lakhanpal,06-Dec-2022 02:51 PM,finance_86432.pdf,BOQ Comparative Chart,1.0,267318.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"1,037,254",1.0,267627.0,MANU PAL GOVT CONT,04-Mar-2022 09:28 AM,Rejected-AOC,2nd lowest,06-Dec-2022 02:59 PM,Technical,Technical Bid attached,Arvind Lakhanpal,10-Mar-2022 01:03 PM,technical_86432.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,267318.0,PRATEEK THAKUR GOVT CONTRACTOR,02-Mar-2022 09:12 PM,Accepted-AOC,1st lowest,06-Dec-2022 02:59 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
