Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
BSP/2022/20 REPAIR OF LINK ROAD TO VILLAGE THANKAR FROM MANGAL SINGH HOUSE TO ARJUN SINGH HOUSE KM. 0/00 TO 1/00) (G.P. JAJRI).,P/L 900 MM DIA R.C.C. HUME PIPE CULVERT AT RD. 0/030 and P/L CEMENT CONCRETE PAVEMENT FROM RD. 0/120 TO 0/176) (DEPOSIT WORK).,Please refer Tender documents. ,NA ,"6,44,429",Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,350.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,29-Sep-2022 10:30 AM,06-Oct-2022 11:30 AM,29-Sep-2022 10:30 AM,06-Oct-2022 10:30 AM,NA ,NA ,29-Sep-2022 10:30 AM,06-Oct-2022 10:30 AM,12-Oct-2022 03:00 PM,PWD,BSP/2022/20 REPAIR OF LINK ROAD TO VILLAGE THANKAR,2022_PWD_65558_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"12,900",No,fixed,,Nil,Nil,AOC,PWD,2022_PWD_65558_1,BSP/2022/20 REPAIR OF LINK ROAD TO VILLAGE THANKAR,BSP/2022/20 REPAIR OF LINK ROAD TO VILLAGE THANKAR FROM MANGAL SINGH HOUSE TO ARJUN SINGH HOUSE KM. 0/00 TO 1/00) (G.P. JAJRI).,Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,12-Oct-2022 11:43 AM,12-Oct-2022 03:00 PM,techsummary_98689.pdf (1058.14 KB),Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,20-Oct-2022 12:49 PM,finsummary_98689.pdf (361.98 KB),13-Dec-2022,"INR 580,662",60.0,Dev Raj,13-Dec-2022 01:15 PM,A.O.C.pdf (780.00 KB),Award Letter,1.0,306338.0,ASHWANI KUMAR,05-Oct-2022 07:20 PM,Rejected-Finance,L1L2,20-Oct-2022 12:49 PM,Technical,bid open summary,Dev Raj,12-Oct-2022 11:41 AM,technical_98689.pdf,Finance,FIN BID SUMMARY,Dev Raj,20-Oct-2022 12:47 PM,finance_98689.pdf,BOQ Comparative Chart,1.0,306138.0,shashi kant,INR,"657,316.42",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,306138.0,shashi kant,05-Oct-2022 07:39 PM,Accepted-AOC,L1,13-Dec-2022 01:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
