S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,298564.0,HARDEEP SINGH DINI,INR,"958,683",Finance,THE WORK HAS BEEN AWARDED TO SH. HARDEEP SINGH,Baldev Singh,13-Dec-2022 03:16 PM,finance_96619.pdf,BOQ Comparative Chart,Technical,All contractor are responsive,Baldev Singh,05-Sep-2022 01:50 PM,technical_96619.pdf,1.0,298564.0,HARDEEP SINGH DINI,31-Aug-2022 05:49 PM,Accepted-AOC,FIRST LOWEST,13-Dec-2022 03:27 PM,25-Jan-2023,"INR 958,683",60.0,Baldev Singh,13-Dec-2022 03:26 PM,1.pdf (397.00 KB),THE WORK HAS BEEN AWARDED TO SH. HARDEEP SINGH.,EE,Internal,"AE TO EE, DAO, SUPDT. TA",Baldev Singh,13-Dec-2022 03:20 PM,finsummary_96619.pdf (396.71 KB),EE,Internal,TA Supdt Gr-II DAO AE to EE,Baldev Singh,05-Sep-2022 01:56 PM,05-Sep-2022 03:00 PM,techsummary_96619.pdf (604.82 KB),PWD,2022_PWD_64145_1,PWI/CB/Tender/2021-5592-5622,"C/O Govt. Sr. Sec. School at Dini Larth, Tehsil. Indora, Distt. Kangra (HP)",AOC,PWD,PWI/CB/Tender/2021-5592-5622,2022_PWD_64145_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),1.0,ICICI BANK,27-Aug-2022 09:00 AM,01-Sep-2022 11:00 AM,27-Aug-2022 09:00 AM,01-Sep-2022 10:00 AM,NA ,NA ,27-Aug-2022 09:00 AM,01-Sep-2022 10:00 AM,05-Sep-2022 03:00 PM,"17,340",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,"C/O Govt. Sr. Sec. School at Dini Larth, Tehsil. Indora, Distt. Kangra (HP)",SH C/O P/L Cement concrete Basket Ball patch,Please refer Tender documents. ,NA ,"8,66,682",Civil Works,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,AOC
,,,,,,,,,,,,,,,,2.0,297905.0,Mohinder Sharma Govt. Contractor,29-Aug-2022 07:46 PM,Rejected-Finance,THIRD LOWEST,13-Dec-2022 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,298664.0,munish kumar,31-Aug-2022 07:56 PM,Rejected-Finance,FOURTH LOWEST,13-Dec-2022 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,298461.0,RAJ KUMAR,31-Aug-2022 03:17 PM,Rejected-Finance,SECOUND LOWEST,13-Dec-2022 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
