Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-39,2022_UDDHP_62976_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Commissioner,Commissioner MC palampur,25-Jul-2022 05:00 PM,17-Aug-2022 03:00 PM,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,NA ,NA ,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,24-Aug-2022 02:30 PM,1.0,DD - Demand Draft,P/L cc paver to road from SubhashChowk to sentpaul school in ward no.03 Palampur( phase first),P/L cc paver to road from SubhashChowk to sentpaul school in ward no.03 Palampur( phase first),Please refer Tender documents. ,NA ,"9,60,396",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"20,000",Yes,fixed,,Commissioner,MC Palampur,500.0,commissioner,MC palampur,No,AOC,Commissioner,Internal,"Joint Commissioner, Assistant Engineer, Junior Engineer",Kalyan Bhatt,29-Dec-2022 02:40 PM,finsummary_94969.pdf (612.54 KB),1.0,295969.0,VISHESH GUPTA,INR,"966,152",Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62976_1,1MC-Palam(1)2022-39,P/L cc paver to road from SubhashChowk to sentpaul school in ward no.03 Palampur( phase first),Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,24-Aug-2022 01:16 PM,24-Aug-2022 02:30 PM,techsummary_94969.pdf (365.80 KB),1.0,295557.0,Manoj Kumar,16-Aug-2022 04:53 PM,Rejected-Finance,Being L3,29-Dec-2022 02:40 PM,Finance,financial bid opening summary,Kalyan Bhatt,24-Aug-2022 05:00 PM,finance_94969.pdf,BOQ Comparative Chart,Technical,bid opening summary,Kalyan Bhatt,22-Aug-2022 12:58 PM,technical_94969.pdf,29-Dec-2022,"INR 966,152",90.0,Kalyan Bhatt,29-Dec-2022 02:41 PM,CCF_000142.pdf (982.00 KB),Work Awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,296014.0,M/s OM PARKASH,17-Aug-2022 03:10 AM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,22-Aug-2022 12:58 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,296024.0,SANJAY SAINI,17-Aug-2022 07:04 AM,Rejected-Finance,Being L2,29-Dec-2022 02:40 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,295969.0,VISHESH GUPTA,16-Aug-2022 08:16 PM,Accepted-AOC,Being L1,29-Dec-2022 02:41 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
