S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,287677.0,Thakur Constructions,INR,"93,934,950","HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",2022_HPIPH_61712_1,JSD-RMP-TA-TEN/2022-2499-2549 DT. 13.6.22,Providing WSS Bahli in GP Bahli Tehsil Rampur Distt. Shimla HP,EE Rampur,Internal,"AE, Supdtt, DAO, HDM, TA",Rasbir Singh Negi,31-Dec-2022 10:59 AM,finsummary_93118.pdf (387.45 KB),CE(SZ) Shimla,Internal,EE(D) EE(R) Joint Controller SE (Through VC),Rasbir Singh Negi,22-Jul-2022 11:35 AM,22-Jul-2022 11:40 AM,techsummary_93118.pdf (1429.49 KB),1.0,287518.0,Dogra Construction Company Pvt Ltd,20-Jun-2022 12:18 PM,Rejected-AOC,Rejected,31-Dec-2022 11:36 AM,31-Dec-2022,"INR 93,934,950",365.0,Rasbir Singh Negi,31-Dec-2022 11:35 AM,bahali.pdf (719.00 KB),The bid of M/S Thakur Const. was to L-1 hence the work has been awarded to him as per uploaded award work,Finance,As approved the tech bids the financial bids of all qualify bidders have been opened and than downlaod by the tender opening committee,Rasbir Singh Negi,22-Jul-2022 12:23 PM,finance_93118.pdf,BOQ Comparative Chart,Technical,4 Nos online bids recevied and all documents from bidders cover have been downloaded for scrutiny by the tender openin committee,Rasbir Singh Negi,22-Jul-2022 11:21 AM,technical_93118.pdf,AOC,Providing WSS Bahli in GP Bahli Tehsil Rampur Distt. Shimla HP,Providing WSS Bahli in GP Bahli Tehsil Rampur Distt. Shimla HP,Please refer Tender documents. ,NA ,"10,00,50,700",Civil Works,NA ,Tender,120.0,365.0,Rampur,172001.0,NA ,NA ,NA ,Rampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Registration in HP Jal Shakti Vibhag any other Govt./semi Govt.,1.0,ICICI BANK,"2,500",EE Rampur,Rampur,No,"10,33,007",Yes,fixed,,EE Rampur,Rampur,Executive Engineer,Jal Shakti Division Rampur,15-Jun-2022 01:00 PM,22-Jun-2022 10:00 AM,15-Jun-2022 01:00 PM,21-Jun-2022 05:00 PM,NA ,NA ,15-Jun-2022 01:00 PM,21-Jun-2022 05:00 PM,22-Jul-2022 11:40 AM,"HP Irrigation and Public Health||Rekongpeo Circle,Irrigation and Public Health,HP||Rampur,Irrigation and Public Health,HP",JSD-RMP-TA-TEN/2022-2499-2549 DT. 13.6.22,2022_HPIPH_61712_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,287763.0,HYDRAULIC ENGINEERING COMPANY,21-Jun-2022 04:51 PM,Rejected-AOC,Rejected,31-Dec-2022 11:36 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money and cost of form through online mode or offline mode,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,287399.0,MOHAN LAL THAKUR,21-Jun-2022 04:55 PM,Rejected-AOC,Rejected,31-Dec-2022 11:36 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,finanical turnover during last three years ending 31st march of 30 percent estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,287677.0,Thakur Constructions,21-Jun-2022 03:51 PM,Accepted-AOC,Accepted,31-Dec-2022 11:36 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"workdone of similar nature of work 80 percent 1, 50 percent 2, 40 percent 3 of estimate cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,the contractor submit the certificate of compeltion or commissioning of work 90 percent award amt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of Pan, EPF and GST Registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,authorization letter regarding DSC of the person authroizied by the registered tenderer upload bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking regarding studying all terms and condtions as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,uplod autrized curv chart along pump and motor as per jma 10 prcnt and minus 15 prcnt duty head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
