Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
28-Dec-2022,"INR 30,568,481",540.0,Kishan Lal Chaudhary,28-Dec-2022 01:00 PM,aoc.pdf (530.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,11-Oct-2022 11:24 AM,finsummary_96811.pdf (307.73 KB),Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,21-Sep-2022 06:03 PM,22-Sep-2022 10:45 AM,techsummary_96811.pdf (998.03 KB),PWD,2022_PWD_64295_1,Corrigendum/7612-31 dated 30.08.2022,Construction of link road from Gorkhuwala Panchayat Ghar to Dadhla and Khondowala Km. 0/0 to 1/830),Technical,Bid Opening Summary,Kishan Lal Chaudhary,21-Sep-2022 05:55 PM,technical_96811.pdf,1.0,300980.0,H. C. Bansal Engg. & Contt.,14-Sep-2022 10:09 AM,Rejected-Finance,L3,11-Oct-2022 11:24 AM,Finance,Fin Opening Summary,Kishan Lal Chaudhary,11-Oct-2022 11:07 AM,finance_96811.pdf,BOQ Comparative Chart,1.0,300715.0,mohdjaseem,INR,"21,397,936.7",AOC,Construction of link road from Gorkhuwala Panchayat Ghar to Dadhla and Khondowala Km. 0/0 to 1/830),"(SH- Formation cutting/filling providing cross drainage works, metalling and tarring, road side drains essential parapets and road sign furniture in km. 0/0 to 1/830) including five year routine maintenance) (Under NABARD RIDF-XXVII).",Please refer tender document ,NA ,"3,05,68,481",Civil Works - Roads,NA ,Tender,75.0,540.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,PWD,Corrigendum/7612-31 dated 30.08.2022,2022_PWD_64295_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"6,12,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,No,01-Sep-2022 04:30 PM,14-Sep-2022 11:00 AM,01-Sep-2022 05:00 PM,14-Sep-2022 10:30 AM,NA ,NA ,01-Sep-2022 05:00 PM,14-Sep-2022 10:30 AM,22-Sep-2022 10:45 AM,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),1.0,Fee/PreQual/Technical,.pdf,Cost of tender,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,299789.0,Manoj Chawla,12-Sep-2022 04:30 PM,Rejected-Finance,Second in toss,11-Oct-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Earnest money/Bid Security,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,300715.0,mohdjaseem,13-Sep-2022 09:56 PM,Accepted-AOC,work awarded,28-Dec-2022 01:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration and Bid Validity.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,301049.0,RANDEEP CHAUHAN,14-Sep-2022 09:55 AM,Rejected-Finance,L4,11-Oct-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Registration, PAN and EPF.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,300729.0,Ranjeet Singh,14-Sep-2022 08:48 AM,Rejected-Finance,L2,11-Oct-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of 33.33 percent work done certificate for similar nature and Existing Commitment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand more than 100 Lakhs.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Total Monitor of civil Construction work,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report and Financial Turnover.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery, lab Equipment Detail and Technical Personal",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Financial Reports, Credit and other financial Resources (10 percent of estimated cost)",AOC
