Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
27-Sep-2022 05:00 PM,06-Oct-2022 11:00 AM,27-Sep-2022 05:00 PM,04-Oct-2022 05:00 PM,NA ,NA ,27-Sep-2022 05:00 PM,04-Oct-2022 05:00 PM,11-Oct-2022 04:30 PM,"1,08,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,"2,000",Nil,Nil,No,PWD,THD/CB/Tender/2022-8272-86,2022_PWD_65621_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"Restoration of rain damages approach road from NH 5 by pass to Government Degree College Theog Distt. Shimla, HP",Construction of Reataining wall at RD 0/075 to 0/100 and Construction of Breast wall at Rd 0/030 to 0/050,As per GCC ,NA ,"54,07,105",Civil Works - Roads,NA ,Tender,90.0,90.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,Executive Engineer,"Theog Division, HP.PWD Theog",AOC,PWD,2022_PWD_65621_1,THD/CB/Tender/2022-8272-86,"Restoration of rain damages approach road from NH 5 by pass to Government Degree College Theog Distt. Shimla, HP","Er. Ravi Bhatti, Executive Engineer",Internal,"Hukamm Singh Thakur, Head Draughtsman, Kewal Ram Beakta, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Ravi Bhatti,11-Oct-2022 03:27 PM,11-Oct-2022 04:30 PM,techsummary_98770.pdf (609.46 KB),Superintending Engineer 4th Circle,Internal,"Executive Engineer, Theog Division, ,Circle Head Draughtsman 4th Circle",Ravi Bhatti,15-Oct-2022 01:31 PM,finsummary_98770.pdf (416.40 KB),20-Oct-2022,"INR 5,267,970",90.0,Ravi Bhatti,27-Dec-2022 10:42 AM,award.pdf (705.00 KB),Award letter,1.0,306061.0,BUILDWELL CONSTRUCTION,04-Oct-2022 04:20 PM,Rejected-Technical,technically non responsive,11-Oct-2022 03:27 PM,Technical,Bid Opening Summary,Ravi Bhatti,07-Oct-2022 09:53 AM,technical_98770.pdf,Finance,Fiinancial opening summary,Ravi Bhatti,12-Oct-2022 11:29 AM,finance_98770.pdf,BOQ Comparative Chart,1.0,305923.0,Suresh Vekta,INR,"5,157,743",AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,305541.0,DEV RAJ KAPTA,03-Oct-2022 11:04 PM,Rejected-Technical,Technically non responsive,11-Oct-2022 03:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,305709.0,DINESH,04-Oct-2022 11:09 AM,Rejected-Technical,Technically non responsive,11-Oct-2022 03:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,305989.0,Mohinder Verma,04-Oct-2022 02:21 PM,Rejected-Technical,Technically non responsive,11-Oct-2022 03:27 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of C.A showing total annual volume in the last five years ref. clause 26.2a,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,305653.0,Sunil Khachi,03-Oct-2022 05:56 PM,Rejected-Finance,Being higher rates,15-Oct-2022 01:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,305923.0,Suresh Vekta,04-Oct-2022 10:36 AM,Accepted-AOC,Being L1,27-Dec-2022 10:43 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents for ownership of such machineries or legal tie-up with the owner of machinery,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
