Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
20-Jul-2022,INR 1.88902E+7,360.0,PALLAVI CHAKRAVORTY,01-Dec-2022 02:41 PM,WO_NizSarabari.pdf (102.00 KB),"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,12-Jul-2022 06:45 PM,finsummary_38101.pdf (98.67 KB),1.0,145441.0,Matlebuddin Ahmed,INR,18890200.0,Finance,Financial Bids has been opened,PALLAVI CHAKRAVORTY,06-Jun-2022 05:35 PM,,BOQ Comparative Chart,1,145230,ABBASUZ ZAMAN,11-Apr-2022 12:23 PM,Rejected-Finance,Rejected as L2,12-Jul-2022 06:45 PM,Public Works Roads Department,2022_PWD_24652_1,CE/APART/15/2022/20,Construction of road from Niz Sarabari Gangapukhori Road,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",PALLAVI CHAKRAVORTY,04-Jun-2022 09:52 PM,06-Jun-2022 02:30 PM,techsummary_38101.pdf (1738.54 KB),Technical,Technical Bids has been opened,PALLAVI CHAKRAVORTY,12-Apr-2022 08:04 PM,,AOC,"5,000","State Project Director,ARIAS SOCIETY",GUWAHATI,No,1.0,BG - Bank Guarantee Irrevocable,Public Works Roads Department,CE/APART/15/2022/20,2022_PWD_24652_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam",10-Mar-2022 01:30 PM,11-Apr-2022 02:30 PM,10-Mar-2022 01:45 PM,11-Apr-2022 02:00 PM,10-Mar-2022 01:55 PM ,21-Mar-2022 11:00 AM ,10-Mar-2022 01:55 PM,11-Apr-2022 02:00 PM,06-Jun-2022 02:30 PM,1.0,Fee/PreQual/Technical,.pdf,EMD,Construction of road from Niz Sarabari Gangapukhori Road,"APART/NOCP/ROADS/DNG-07 Construction of road from Niz Sarabari Gangapukhori Road of Niz Sarabari and Burakhat Village, Sarabari Mouza in Darrang District (Length 1.80 KM) under APART",Please refer Tender documents. ,NA ,"2,69,86,000",Civil Works – Roads,NA ,Tender,90.0,360.0,Darrang District,784528.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",21-Mar-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,"5,39,720",No,fixed,,"The Chief Engineer,(EAP) PWRD,Assam",GUWAHATI,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,145391,DIGEN SWARGIWARY,11-Apr-2022 10:40 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,04-Jun-2022 09:52 PM,,,,,,,,,,,,,,,,,AOC,,,,,2.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,145355,J. T. M. ENTERPRISE,11-Apr-2022 01:53 PM,Rejected-Finance,Rejected as L6,12-Jul-2022 06:45 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4,145246,KALPA SINGH BORDOLOI,10-Apr-2022 10:19 PM,Rejected-Finance,Rejected as L5,12-Jul-2022 06:45 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,5,145078,KUMARJIT DAS,11-Apr-2022 01:29 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,04-Jun-2022 09:52 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,6,145441,Matlebuddin Ahmed,11-Apr-2022 01:23 PM,Accepted-AOC,Awarded Contract Bidder,01-Dec-2022 02:42 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,7,145431,M/S ANCC INFRA,11-Apr-2022 01:26 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,04-Jun-2022 09:52 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,8,145332,M/S PARIMAL SAIKIA,10-Apr-2022 09:57 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,04-Jun-2022 09:52 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,9,145125,RAJENDRA CHAUDHURY,09-Apr-2022 01:34 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,04-Jun-2022 09:52 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,10,145317,Ramesh Kr. Agarwalla,10-Apr-2022 08:49 PM,Rejected-Finance,Rejected as L3,12-Jul-2022 06:45 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
