Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
5 MDTW points under Jalukbari LAC under NABARD RIDF XXVII for the year 2021-22,MEDIUM DEEP TUBE WELL SCHEME,Please refer Tender documents. ,NA ,"1,47,66,799",Civil Works,NA ,Tender,365.0,365.0,"AMINGAON,JALUKBARI",781031.0,NA ,NA ,NA ,"O/O THE EXECUTIVE ENGINEER,HAJO-JALUKBARI DIV(IRR)",No ,No,1.0,CORRIGENDUM REGARDING UDIN,Technical Bid,,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,"2,000",Nil,Nil,No,"EXECUTIVE ENGINEER,HAJO-JALUKBARI DIV(IRRIGATION)","O/O THE EXECUTIVE ENGINEER,HAJO-JALUKBARI DIV(IRR),AMINGAON,GHY-31","2,95,336",Yes,percentage,2.0%,Nil,Nil,28-Jun-2022 09:30 AM,18-Jul-2022 04:00 PM,28-Jun-2022 10:00 AM,18-Jul-2022 02:00 PM,NA ,NA ,28-Jun-2022 10:00 AM,18-Jul-2022 02:00 PM,27-Jul-2022 12:00 PM,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept||Kamrup Circle||Hajo Jalukbari Division,. HJDI(T)/118/2022/09 dtd.27/06/2022,2022_ID_26120_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,EXECUTIVE ENGINEER HAJO JALUKBARI DIVISION IRRIGATION,Internal,,Hrishikesh Mili,19-Dec-2022 11:47 PM,finsummary_40320.pdf (309.04 KB),Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept||Kamrup Circle||Hajo Jalukbari Division,2022_ID_26120_1,. HJDI(T)/118/2022/09 dtd.27/06/2022,5 MDTW points under Jalukbari LAC under NABARD RIDF XXVII for the year 2021-22,1,153374,BARKAT ULLAH,16-Jul-2022 05:33 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,1.0,152087.0,M/S MORAMI ENTERPRISE,INR,13290119.1,19-Dec-2022,INR 13290119.1,180.0,Hrishikesh Mili,19-Dec-2022 11:56 PM,formalworkorder.pdf (439.00 KB),"EXECUTIVE ENGINEER,HJDI",Internal,,Hrishikesh Mili,26-Jul-2022 04:59 PM,27-Jul-2022 12:00 PM,techsummary_40320.pdf (305.48 KB),Finance,FINANCIAL BID OPENED,Nandita Talukdar,27-Jul-2022 12:35 PM,,BOQ Comparative Chart,Technical,TECHINCAL BID OPENED,Nandita Talukdar,18-Jul-2022 04:25 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,153748,ENAJORI ENTERPRISE,18-Jul-2022 01:42 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,3,153822,JAYANTA KUMAR DAS,18-Jul-2022 12:31 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,4,153740,K C INFRA PROJECTS PRIVATE LTD,16-Jul-2022 02:31 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,5,153793,MOR AXOM ENTERPRISE,17-Jul-2022 11:21 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,6,152087,M/S MORAMI ENTERPRISE,12-Jul-2022 08:34 PM,Accepted-AOC,as per allotment,19-Dec-2022 11:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,7,153801,M/S NIRMALA ENTERPRISES,18-Jul-2022 12:31 AM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,8,152225,Natsakee Incorporation,14-Jul-2022 02:41 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,9,153612,SSK INDUSTRIES,16-Jul-2022 06:10 PM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,10,153752,SUMO INTERNATIONAL PRIVATE LIMITED,18-Jul-2022 11:07 AM,Rejected-Technical,REJECTED,26-Jul-2022 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
