Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,PWD-Civil-15837-66-Tanda,2021_PWD_45601_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HP PWD Division Tanda,Annual repair and maintenance of various roads under HP PWD Sub-Division Baroh in Distt. Kangra (H.P.) (SH-Providing and laying patch work.),Annual repair and maintenance of various roads under HP PWD Sub-Division Baroh in Distt. Kangra (H.P.) (SH-Providing and laying patch work.),Please refer Tender documents. ,NA ,"11,65,580",Civil Works - Roads,NA ,Tender,120.0,60.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,16-Mar-2021 12:45 PM,27-Mar-2021 11:30 AM,16-Mar-2021 12:45 PM,26-Mar-2021 05:00 PM,NA ,NA ,16-Mar-2021 12:45 PM,26-Mar-2021 05:00 PM,08-Apr-2021 03:00 PM,"23,350",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,500.0,Nil,Nil,No,AOC,PWD,2021_PWD_45601_2,PWD-Civil-15837-66-Tanda,Annual repair and maintenance of various roads under HP PWD Sub-Division Baroh in Distt. Kangra (H.P.) (SH-Providing and laying patch work.),Dr Suresh Kumar walia,Internal,Er Ankit AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,06-Apr-2021 11:41 AM,08-Apr-2021 03:00 PM,techsummary_68612.pdf (633.93 KB),Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,17-Apr-2021 03:09 PM,finsummary_68612.pdf (193.54 KB),03-Jun-2021,"INR 116,480",60.0,Suresh Kumar Walia,21-Dec-2022 03:25 PM,Award.pdf (375.00 KB),Award,1.0,205949.0,Alpna Sharma,26-Mar-2021 12:50 PM,Rejected-Finance,Lowest 3,17-Apr-2021 03:09 PM,Technical,Sum,Suresh Kumar Walia,06-Apr-2021 11:31 AM,technical_68612.pdf,Finance,Sum,Suresh Kumar Walia,17-Apr-2021 03:06 PM,finance_68612.pdf,BOQ Comparative Chart,1.0,205587.0,Ujjawal Singh,INR,"1,469,000",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,205780.0,Bhag Singh,26-Mar-2021 12:34 PM,Rejected-Technical,Not Fulfill Criteria,06-Apr-2021 11:41 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,204748.0,Rahul,23-Mar-2021 07:02 PM,Rejected-Finance,Lowest 2,17-Apr-2021 03:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,205799.0,RANJNA DEVI,25-Mar-2021 02:45 PM,Rejected-Finance,Lowest 4,17-Apr-2021 03:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,205587.0,Ujjawal Singh,26-Mar-2021 04:02 PM,Accepted-AOC,Award,21-Dec-2022 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done Certificate,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,205819.0,VP SHARMA,25-Mar-2021 01:00 PM,Rejected-Finance,Lowest 5,17-Apr-2021 03:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and staff,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding nearrelative working in the PWD and no relation gazetted,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking no arbitration/litigation with PWD in pending in any court of Law,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
