Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
20-Sep-2021 06:55 PM,01-Oct-2021 11:00 AM,20-Sep-2021 06:55 PM,30-Sep-2021 06:55 PM,NA ,NA ,20-Sep-2021 06:55 PM,30-Sep-2021 06:55 PM,08-Oct-2021 10:45 AM,Executive Engineer,Executive Engineer HP PWD Dharamshala,PWD,dshala 4898-4905,2021_PWD_52529_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"64,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,1.0,ICICI BANK,"1,500",Nil,Nil,No,Construction of Veterinary Hospital at Yol in Tehsil Dharamshala Distt. Kangra (H.P),Construction of Veterinary Hospital including water supply and sanitary Installation etc.,Please refer Tender documents. ,NA ,"38,20,238",Civil Works - Buildings,NA ,Tender,120.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,AOC,1.0,238858.0,Anubhav Sharma,30-Sep-2021 04:40 PM,Rejected-Technical,Being Class B,08-Oct-2021 10:42 AM,Technical,As per documents attached,Sushil Kumar Dhadwal,05-Oct-2021 03:19 PM,None,Finance,As per document atttached,Sushil Kumar Dhadwal,08-Oct-2021 10:53 AM,finance_78523.pdf,BOQ Comparative Chart,1.0,237481.0,Parveen Kumar,INR,"4,434,173",Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,08-Oct-2021 10:42 AM,08-Oct-2021 10:45 AM,techsummary_78523.pdf (994.50 KB),PWD,2021_PWD_52529_1,dshala 4898-4905,Construction of Veterinary Hospital at Yol in Tehsil Dharamshala Distt. Kangra (H.P),23-Dec-2022,"INR 4,434,173",365.0,Tarlok Dhiman,23-Dec-2022 06:45 PM,IMG.pdf (481.00 KB),Shri Parveen Kumar R/O Village Kasba Narwana,Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,12-Oct-2021 10:43 AM,finsummary_78523.pdf (174.19 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,238603.0,Kapil Sharma,30-Sep-2021 01:59 PM,Rejected-Finance,Due to higher bid,12-Oct-2021 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,238852.0,KARAN DHADWAL,30-Sep-2021 04:24 PM,Rejected-Finance,Due to higher bid,12-Oct-2021 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,238637.0,PARDEEP KUMAR,30-Sep-2021 03:08 PM,Rejected-Finance,Due to higher bid,12-Oct-2021 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,237481.0,Parveen Kumar,27-Sep-2021 04:50 PM,Accepted-AOC,L1,23-Dec-2022 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand certificate in HPPWD and other agencies,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
