Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
500.0,Nil,Nil,No,Restoration of rain damages on Runkali Chikhar road km. 0.00 to 6.500,Construction of PCC Retaining wall at RD 1.780 to 1.795 length 15mtr height 8.10mtr.,As per GCC ,NA ,"15,72,435",Civil Works - Roads,NA ,Tender,60.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,Executive Engineer,"Theog Division, H.P.P.W.D., Theog","32,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,PW.THD/CB-tender/2022-6024-38,2022_PWD_64047_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,25-Aug-2022 05:00 PM,31-Aug-2022 11:00 AM,25-Aug-2022 05:00 PM,30-Aug-2022 05:00 PM,NA ,NA ,25-Aug-2022 05:00 PM,30-Aug-2022 05:00 PM,08-Sep-2022 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,AOC,Finance,Financial bid opening summary,Ravi Bhatti,09-Sep-2022 04:25 PM,finance_96491.pdf,BOQ Comparative Chart,1.0,298101.0,Bhagwan Dass,INR,"1,573,563",1.0,298101.0,Bhagwan Dass,29-Aug-2022 01:21 PM,Accepted-AOC,Being L1,20-Dec-2022 11:29 AM,Technical,Bid Opening summary,Ravi Bhatti,02-Sep-2022 02:43 PM,technical_96491.pdf,"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Singh Thakur, HDM, Kewal Ram beakta, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Ravi Bhatti,08-Sep-2022 01:35 PM,08-Sep-2022 03:30 PM,techsummary_96491.pdf (583.39 KB),PWD,2022_PWD_64047_1,PW.THD/CB-tender/2022-6024-38,Restoration of rain damages on Runkali Chikhar road km. 0.00 to 6.500,14-Oct-2022,"INR 1,572,435",30.0,Ravi Bhatti,20-Dec-2022 11:29 AM,award.pdf (867.00 KB),Award letter,"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Singh Thakur, DHM, Jia Lal , Draughtsman",Ravi Bhatti,12-Oct-2022 11:05 AM,finsummary_96491.pdf (444.67 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,AOC,,,,,,,,,,,,2.0,298165.0,rohan sharma,30-Aug-2022 04:30 PM,Rejected-Technical,Technically non responsive,08-Sep-2022 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,AOC,,,,,,,,,,,,3.0,298414.0,Sandeep Verma,30-Aug-2022 04:37 PM,Rejected-Technical,Technically non responsive,08-Sep-2022 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,AOC,,,,,,,,,,,,4.0,298078.0,Vasu Dev,30-Aug-2022 03:53 PM,Rejected-Finance,Beinng higher rates,12-Oct-2022 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,AOC,,,,,,,,,,,,5.0,298062.0,Vikas Sharma,30-Aug-2022 02:53 PM,Rejected-Technical,Technically non responsive,08-Sep-2022 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
