Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Hp State Cooperative Milk Producers Fed Ltd,2022_MPFL_66739_1,484/PI 8/15-XXV,Raw material of Panjiri 3rd qtr 2022-23,Managing Director,Internal,Sr Manager P ACFA Asstt Manager Acctts,Preeti Arya,21-Dec-2022 04:20 PM,finsummary_100418.pdf (394.01 KB),1.0,310942.0,S K FOOD PRODUCT,INR,"10,402,000",21-Dec-2022,"INR 16,276,750",120.0,Preeti Arya,21-Dec-2022 04:31 PM,sopanjiri.pdf (806.00 KB),Supply order,1,311635,Ashutosh Trading Corporation,11-Dec-2022 10:35 PM,Rejected-Finance,quote highest rate,21-Dec-2022 04:20 PM,Technical,technical bid summary,Parkash Chand,13-Dec-2022 02:54 PM,technical_100418.pdf,Managing Director,Internal,"Sr Manager P, ACFA, Asstt Manager Acctts",Preeti Arya,13-Dec-2022 03:02 PM,13-Dec-2022 03:10 PM,techsummary_100418.pdf (387.70 KB),Finance,Financial bid,Parkash Chand,13-Dec-2022 04:48 PM,finance_100418.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Whether earnest Money and tender cost uploaded,Hp State Cooperative Milk Producers Fed Ltd,484/PI 8/15-XXV,2022_MPFL_66739_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,"2,360",Nil,Nil,Yes,23-Nov-2022 04:00 PM,13-Dec-2022 12:00 PM,23-Nov-2022 04:00 PM,12-Dec-2022 04:00 PM,NA ,NA ,23-Nov-2022 04:00 PM,12-Dec-2022 04:00 PM,13-Dec-2022 03:10 PM,"8,75,000",Yes,percentage,2.5%,Nil,Nil,1.0,ICICI BANK,Managing Director,H.P Milkfed Totu Shimla-11,Raw material of Panjiri 3rd qtr 2022-23,Raw material of Panjiri,Please refer Tender documents. ,NA ,"3,50,00,000",Food Products,NA ,Tender,120.0,NA ,"HP Milkfed, totu Shimla",171011.0,NA ,NA ,NA ,Totu Shimla,No ,No,AOC
,,,,,,,,,,2.0,311315.0,SHIV DHAN DASS ASHOK KUMAR,INR,"586,276,750",,,,,,,,2,311728,CSA Corporation Pvt.Ltd,12-Dec-2022 12:53 PM,Rejected-Finance,quote highest rate all items,21-Dec-2022 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,copies of proof balance sheet or income tax return of the last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,310776,GOYAL BROTHERS,12-Dec-2022 03:11 PM,Rejected-Finance,quote highest rate all items,21-Dec-2022 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN and TAN No from the income tax authorities uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,311135,MANATH SUGAR TRADER,12-Dec-2022 03:35 PM,Rejected-Technical,"copies of latest balance sheet, tender document also note signed and annexure A are not uploaded",13-Dec-2022 03:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,duly signed and stamp tender documents uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,311705,P A SALES CORPORATION,12-Dec-2022 12:36 PM,Rejected-Finance,quote highest rate and rfined oil quorum not completed,21-Dec-2022 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,testing report of cotton seed refined oil should be as specification uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,311471,RAM KUMAR RAJ KUMAR,11-Dec-2022 05:45 PM,Rejected-Finance,quote highest rate,21-Dec-2022 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Declaration as provide at annexure A in compliance section 194Q and 206CCA on the income tax act 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,310939,R S BAJAJ TEA COMPANY,12-Dec-2022 12:23 PM,Rejected-Finance,quote highest rate all items,21-Dec-2022 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,311315,SHIV DHAN DASS ASHOK KUMAR,12-Dec-2022 01:11 PM,Accepted-AOC,quote lowest rate,21-Dec-2022 04:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,310942,S K FOOD PRODUCT,12-Dec-2022 03:43 PM,Accepted-AOC,quote lowest rate,21-Dec-2022 04:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,310926,TIRUPATI TRADERS,12-Dec-2022 03:58 PM,Rejected-Finance,quote highest rate all items,21-Dec-2022 04:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
