Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
28-Dec-2022,"INR 4,454,095",365.0,Tarsem Singh,28-Dec-2022 11:45 AM,swaraaward.pdf (510.00 KB),Awarded to L-i Sh.Rakesh negi,Er. Ram Singh Thakur,Internal,,Prem Pal Sharma,17-Feb-2021 01:22 PM,finsummary_61480.pdf (534.56 KB),Er. Ram Singh Thakur,Internal,,Prem Pal Sharma,10-Nov-2020 02:35 PM,10-Nov-2020 03:00 PM,techsummary_61480.pdf (389.04 KB),PWD,2020_PWD_41654_1,PW-JD/E-Tender/2020-21 -3780-82 DT 18.09.2020,Routine Maintenance of Sawra Mandal Jhagtan Jharashali road Km 0/0 to 25/525 under PBMC,Technical,TECHNICAL BID OPENING SUMMARY,Prem Pal Sharma,10-Nov-2020 02:09 PM,technical_61480.pdf,1.0,184028.0,Chaten Chauhan,26-Oct-2020 07:38 PM,Rejected-Finance,L-2 Bidder,17-Feb-2021 01:28 PM,1.0,184111.0,Rakesh Negi,INR,"4,454,095",Finance,Financial Bid Opening Summary,Prem Pal Sharma,17-Feb-2021 01:21 PM,finance_61480.pdf,BOQ Comparative Chart,AOC,Executive Engineer Jubbal,HPPWD DIVISION JUBBAL.,PWD,PW-JD/E-Tender/2020-21 -3780-82 DT 18.09.2020,2020_PWD_41654_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"87,300",No,fixed,,EE Jubbal,Jubbal,"2,000",EE Jubbal,Jubbal,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,15-Oct-2020 12:30 PM,29-Oct-2020 11:00 AM,15-Oct-2020 12:30 PM,27-Oct-2020 06:00 PM,NA ,NA ,15-Oct-2020 12:30 PM,27-Oct-2020 06:00 PM,10-Nov-2020 03:00 PM,1.0,ICICI BANK,Routine Maintenance of Sawra Mandal Jhagtan Jharashali road Km 0/0 to 25/525 under PBMC,Please refer tender document.,Please refer Tender documents. ,NA ,"54,80,095",Civil Works - Roads,NA ,Tender,90.0,365.0,JUBBAL,171205.0,NA ,NA ,NA ,Jubbal,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,184111.0,Rakesh Negi,27-Oct-2020 12:47 PM,Accepted-AOC,Lowest bidder,28-Dec-2022 11:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of Documents submitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration regarding ineligibilty for fraudulent practices/ litigation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover as mentioned in tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and Work in Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
