Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,30-Dec-2022 05:24 PM,finsummary_88362.pdf (104.09 KB),30-Dec-2022,"INR 1,585,549",30.0,Jeet Singh Thakur,30-Dec-2022 05:31 PM,232-35.pdf (783.00 KB),Annual Maintenance on Rajera Dhullara road Km. 4/0 to 5/0 for the year 2022-23 Providing and laying Bituminous concrete),PWD,2022_PWD_58409_1,No.PWC- WA-II- 17915-18014 dated 16.3.2022,Annual Maintenance on Rajera Dhullara road Km. 4/0 to 5/0 for the year 2022-23 Providing and laying Bituminous concrete),EE,Internal,"Assistant Engineer, Superintendent and Senior Assistant",Jeet Singh Thakur,01-Apr-2022 07:02 PM,04-Apr-2022 11:30 AM,techsummary_88362.pdf (259.16 KB),Technical,BOS,Jeet Singh Thakur,01-Apr-2022 06:59 PM,technical_88362.pdf,1.0,273920.0,Des Raj and Co.,30-Mar-2022 11:15 AM,Accepted-AOC,Work completed by the contractor,30-Dec-2022 05:32 PM,1.0,273920.0,Des Raj and Co.,INR,"1,584,756",Finance,BOS,Jeet Singh Thakur,30-Dec-2022 05:21 PM,finance_88362.pdf,BOQ Comparative Chart,AOC,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"31,800",No,fixed,,Nil,Nil,500.0,Nil,Nil,Yes,1.0,Due Date Extended,Admin Corrigendum Date Extend,,PWD,No.PWC- WA-II- 17915-18014 dated 16.3.2022,2022_PWD_58409_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,23-Mar-2022 04:00 PM,01-Apr-2022 11:30 AM,23-Mar-2022 04:00 PM,31-Mar-2022 05:00 PM,NA ,NA ,23-Mar-2022 04:00 PM,31-Mar-2022 05:00 PM,04-Apr-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,1.0,ICICI BANK,Annual Maintenance on Rajera Dhullara road Km. 4/0 to 5/0 for the year 2022-23 Providing and laying Bituminous concrete),Annual Maintenance on Rajera Dhullara road Km. 4/0 to 5/0 for the year 2022-23 Providing and laying Bituminous concrete),Please refer Tender documents. ,NA ,"15,85,549",Civil Works,NA ,Tender,75.0,30.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,273873.0,Manesh Mehta,29-Mar-2022 10:02 PM,Rejected-Finance,Being 2nd lowest,30-Dec-2022 05:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274068.0,Nirut Mehta,30-Mar-2022 09:29 PM,Rejected-Technical,Non Responsive,01-Apr-2022 07:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof for the same",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,AOC
