Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,6269-75,2022_PWD_64300_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,31-Aug-2022 02:30 PM,06-Sep-2022 02:00 PM,31-Aug-2022 02:30 PM,05-Sep-2022 04:00 PM,NA ,NA ,31-Aug-2022 02:30 PM,05-Sep-2022 04:00 PM,07-Sep-2022 04:45 PM,1.0,DD - Demand Draft,EE HP PWD Karsog,O/O EE HPPWD Division Karsog,"1,35,600",Yes,fixed,,EE Karsog,Karsog/Karsog,1.0,Fee/PreQual/Technical,.pdf,cost of tender form,"2,000",EE Karsog,Karsog/Karsog,No,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,Construction of Shakelar to Mahog via Navidhar road,Construction of Shakelar to Mahog via Navidhar road Km. 0/000 to 10/500 (Sub Head Widening of road in Km. 7/900 to 10/345).,Please refer Tender documents. ,NA ,"67,76,056",Civil Works - Roads,NA ,Tender,90.0,60.0,Karsog,175011.0,NA ,NA ,NA ,O/O EE HPPWD Division Karsog,No ,No,AOC,1.0,299306.0,GOBIND RAM,05-Sep-2022 01:13 PM,Not Admitted-Fee/PreQual/Technical,Others-other,06-Sep-2022 04:25 PM,Technical,attached.,Arvind Kumar Bhardwaj,06-Sep-2022 04:25 PM,None,1.0,299206.0,MOHAN LAL,INR,"7,080,767.72",Finance,attached.,Arvind Kumar Bhardwaj,12-Sep-2022 04:03 PM,finance_96818.pdf,BOQ Comparative Chart,EE Karsog,Internal,attached,Arvind Kumar Bhardwaj,07-Sep-2022 04:38 PM,07-Sep-2022 04:45 PM,techsummary_96818.pdf (191.80 KB),PWD,2022_PWD_64300_1,6269-75,Construction of Shakelar to Mahog via Navidhar road,07-Sep-2023,"INR 7,080,767.72",60.0,Arvind Kumar Bhardwaj,09-Dec-2022 10:58 AM,Awardletter.pdf (297.00 KB),award letter,Arvind Kumar Bhardwaj,Internal,attached,Chhavinder Shandil,28-Oct-2022 12:13 PM,finsummary_96818.pdf (183.10 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,299316.0,KISHOR KUMAR GOVT CONT,05-Sep-2022 01:18 PM,Not Admitted-Fee/PreQual/Technical,Others-other,06-Sep-2022 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,299206.0,MOHAN LAL,04-Sep-2022 02:51 PM,Accepted-AOC,L-I,09-Dec-2022 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,299198.0,Naresh Kumar,04-Sep-2022 12:15 PM,Rejected-AOC,L-II,09-Dec-2022 11:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tools plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,299268.0,SANJAY MAHAJAN GOVT CONT,05-Sep-2022 10:03 AM,Not Admitted-Fee/PreQual/Technical,Others-Not submitted required document.,06-Sep-2022 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF miscellaneous provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,report of charter Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
