EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"12,000",No,fixed,,Commissioner,MC Palampur,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,DD - Demand Draft,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-43,2022_UDDHP_62984_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Commissioner,MC Palampur,No,Commissioner,Commissioner MC Palampur,10-Aug-2022 05:00 PM,22-Aug-2022 03:00 PM,10-Aug-2022 05:00 PM,22-Aug-2022 10:30 AM,NA ,NA ,10-Aug-2022 05:00 PM,22-Aug-2022 10:30 AM,24-Aug-2022 02:30 PM,Providing and fixing 1Nos High Mast 16 Mtr. Pole with 6Nos LED Flood light at Thakurdwara Chowk khalet W.o.08MC Palampur.,Providing and fixing 1Nos High Mast 16 Mtr. Pole with 6Nos LED Flood light at Thakurdwara Chowk khalet W.o.08MC Palampur.,Please refer Tender documents. ,NA ,"5,94,000",Electrical Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,AOC,Commissioner,Internal,"JC, AE,JE",Kalyan Bhatt,24-Aug-2022 01:25 PM,24-Aug-2022 02:30 PM,techsummary_95778.pdf (387.46 KB),1.0,296730.0,DOLORARTZ PRIVATE LIMITED,21-Aug-2022 01:25 PM,Rejected-Finance,Being L3,30-Dec-2022 11:18 AM,30-Dec-2022,"INR 424,847.2",90.0,Kalyan Bhatt,30-Dec-2022 11:19 AM,CCF_000160.pdf (1005.00 KB),Work Awarded,Finance,financial bid opening summary,Kalyan Bhatt,24-Aug-2022 05:01 PM,finance_95778.pdf,BOQ Comparative Chart,Technical,bid opening summary,Kalyan Bhatt,22-Aug-2022 05:33 PM,technical_95778.pdf,Commissioner,Internal,"Jt. commissioner , Assistant Engineer , Junior Engineer",Kalyan Bhatt,30-Dec-2022 11:18 AM,finsummary_95778.pdf (641.71 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62984_2,1MC-Palam(1)2022-43,Providing and fixing 1Nos High Mast 16 Mtr. Pole with 6Nos LED Flood light at Thakurdwara Chowk khalet W.o.08MC Palampur.,1.0,296793.0,Kumar Enterprises,INR,"424,847.2",AOC
,,,,,,,,.pdf,The earnest money indicated in schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,296793.0,Kumar Enterprises,21-Aug-2022 10:57 PM,Accepted-AOC,Being L1,30-Dec-2022 11:20 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,296710.0,M/s OM PARKASH,21-Aug-2022 11:14 AM,Rejected-Finance,Being L6,30-Dec-2022 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4.0,296683.0,pankaj saini,20-Aug-2022 07:24 PM,Rejected-Finance,Being L5,30-Dec-2022 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5.0,296767.0,subhash and sons,22-Aug-2022 06:30 AM,Rejected-Finance,Being L4,30-Dec-2022 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6.0,296698.0,TANUJ SHARMA,22-Aug-2022 10:13 AM,Rejected-Finance,Being L2,30-Dec-2022 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
