S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,160569.0,M/s Kamala Enterprises,INR,"2,230,375",Finance,Summary,Manish Sehgal,02-Dec-2022 03:05 PM,finance_55213.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Manish Sehgal,20-Jun-2020 11:54 AM,technical_55213.pdf,1.0,160569.0,M/s Kamala Enterprises,02-Jun-2020 05:59 PM,Accepted-AOC,Bidder Rank-L1,02-Dec-2022 03:08 PM,02-Dec-2022,"INR 2,230,375.2",90.0,Manish Sehgal,02-Dec-2022 03:07 PM,AOC.pdf (241.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,02-Dec-2022 03:06 PM,finsummary_55213.pdf (180.37 KB),Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Suresh Kumar HDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,20-Jun-2020 12:23 PM,20-Jun-2020 12:30 PM,techsummary_55213.pdf (923.63 KB),PWD,2020_PWD_37459_1,Link road to village Barath Km 0-0 to 2-195,Providing and laying Annual Surface (Periodic Maintenance) on Link road to village Barath under performance based Financial Incentive 2018-19 (during the year 2019-20) of PMGSY rural roads in the state of HP,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,1.0,DD - Demand Draft,Providing and laying Annual Surface (Periodic Maintenance) on Link road to village Barath under performance based Financial Incentive 2018-19 (during the year 2019-20) of PMGSY rural roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km. 0/0 to 2/195,Please refer Tender documents. ,NA ,"16,02,575",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"31,600",No,fixed,,EE Bhawarna,Bhawarna,500.0,EE Bhawarna,Bhawarna,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,23-May-2020 02:45 PM,03-Jun-2020 11:30 AM,23-May-2020 02:50 PM,03-Jun-2020 11:00 AM,NA ,NA ,23-May-2020 03:00 PM,03-Jun-2020 11:00 AM,20-Jun-2020 12:30 PM,PWD,Link road to village Barath Km 0-0 to 2-195,2020_PWD_37459_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,160590.0,Sanjeev,02-Jun-2020 07:19 PM,Rejected-Finance,Bidder Rank-L2,02-Dec-2022 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
