Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,"5,000",Nil,Nil,No,"Construction of Dharamshala Mecleodganj road km 0/000 to 2/000 (Portion Gandhi Park to by pass Junction Kala pul ) in Tehsil Dharamshala, Distt. Kangra HP.(Deposit work under Smart City Mission)","Sub Head - Cement concrete pavement, Paver block, steel work, Crash barrier and Grating etc.",Please refer Tender documents. ,NA ,"1,45,81,485",Civil Works - Buildings,NA ,Tender,75.0,365.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,11-Feb-2022 12:00 PM,24-Feb-2022 09:00 AM,11-Feb-2022 12:00 PM,23-Feb-2022 06:55 PM,NA ,NA ,11-Feb-2022 12:00 PM,23-Feb-2022 06:55 PM,09-Mar-2022 05:15 PM,1.0,ICICI BANK,"1,78,320",No,fixed,,Nil,Nil,PWD,Dshala 10040-70,2022_PWD_56686_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,AOC,Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Kant Supdt. Smt. Anita Kumari JDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,09-Mar-2022 05:11 PM,09-Mar-2022 05:15 PM,techsummary_85408.pdf (588.74 KB),PWD,2022_PWD_56686_1,Dshala 10040-70,"Construction of Dharamshala Mecleodganj road km 0/000 to 2/000 (Portion Gandhi Park to by pass Junction Kala pul ) in Tehsil Dharamshala, Distt. Kangra HP.(Deposit work under Smart City Mission)",19-May-2022,"INR 11,220,870",365.0,Tarlok Dhiman,16-Dec-2022 05:25 PM,IMG.pdf (631.00 KB),"KAPIL SHARMA, GOVT. CONTRACTOR, VPO DHAGWAR, TEHSIL DHARAMSHALA",Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,07-May-2022 07:49 PM,finsummary_85408.pdf (176.06 KB),Finance,As per document attached,Sushil Kumar Dhadwal,09-Mar-2022 05:18 PM,finance_85408.pdf,BOQ Comparative Chart,1.0,265299.0,Kapil Sharma,INR,"11,220,870",1.0,265326.0,Harbhajan singh,23-Feb-2022 02:07 PM,Rejected-Finance,L3,07-May-2022 07:49 PM,Technical,As per document attached,Sushil Kumar Dhadwal,02-Mar-2022 03:06 PM,technical_85408.pdf,AOC
,,.pdf,Contractors registration (Class C and (for B by one step below)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,265299.0,Kapil Sharma,23-Feb-2022 11:28 AM,Accepted-AOC,L1,16-Dec-2022 05:26 PM,,,,,,AOC
,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,265967.0,Pritam Singh Thakur,23-Feb-2022 10:47 AM,Rejected-Finance,L4,07-May-2022 07:49 PM,,,,,,AOC
,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,265537.0,sanjeev singh govt contractor,22-Feb-2022 04:50 PM,Rejected-Finance,L2,07-May-2022 07:49 PM,,,,,,AOC
,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in Hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
