Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,sum,Ankit Kumar,07-Oct-2022 01:27 PM,finance_98489.pdf,BOQ Comparative Chart,1.0,304525.0,Saini,INR,"1,273,078",Technical,sum,Ankit Kumar,03-Oct-2022 01:22 PM,technical_98489.pdf,1.0,304698.0,MUKESH CHAND,30-Sep-2022 10:44 AM,Rejected-Finance,Lowest 3,07-Oct-2022 01:28 PM,07-Oct-2022,"INR 1,529,461",120.0,Suresh Kumar Walia,21-Dec-2022 03:31 PM,Award.pdf (137.00 KB),Award,Dr Suresh kumar walia,Internal,AE Suodt HDM DAO,Ankit Kumar,07-Oct-2022 01:28 PM,finsummary_98489.pdf (190.50 KB),Dr Suresh kumar walia,Internal,AE SUpdt HDM DAO,Ankit Kumar,03-Oct-2022 01:23 PM,03-Oct-2022 01:25 PM,techsummary_98489.pdf (922.23 KB),PWD,2022_PWD_65428_1,PWD-CivilJawalamukhi 23,Special repair to Old Type-III Block-6 Qtr. No. 1 to 8 in Dr. R.P. Govt. Medical College at Tanda in Distt. Kangra (H.P.),AOC,PWD,PWD-CivilJawalamukhi 23,2022_PWD_65428_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,"30,600",No,fixed,,Nil,Nil,Special repair to Old Type-III Block-6 Qtr. No. 1 to 8 in Dr. R.P. Govt. Medical College at Tanda in Distt. Kangra (H.P.),"Dismantling tile, repair of plaster, floor tile, wall tile, aliminium work, wooden work, W.S. and S.I. etc. in Old Type-III Block-6 Qtr. No. 1 to 8",Please refer Tender documents. ,NA ,"15,29,461",Civil Works - Buildings,NA ,Tender,120.0,120.0,Nagrota,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,500.0,Nil,Nil,No,23-Sep-2022 10:20 AM,01-Oct-2022 11:30 AM,23-Sep-2022 10:20 AM,01-Oct-2022 09:00 AM,NA ,NA ,23-Sep-2022 10:20 AM,01-Oct-2022 09:00 AM,03-Oct-2022 01:25 PM,AOC
,,,,,,,,,,,,,,,,2.0,303939.0,parveen kumar,28-Sep-2022 09:03 PM,Rejected-Finance,Lowest 2,07-Oct-2022 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,304525.0,Saini,30-Sep-2022 03:31 PM,Accepted-AOC,Award,21-Dec-2022 03:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,AOC
