Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
24-Jun-2022 10:00 AM,16-Jul-2022 11:00 AM,24-Jun-2022 10:30 AM,15-Jul-2022 04:00 PM,NA ,NA ,24-Jun-2022 12:00 PM,15-Jul-2022 04:00 PM,09-Sep-2022 10:00 AM,"1,70,520",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scan copy of Technical Documents Part-1,Directorate of Agriculture and Assam Seed Corporation,A/E/4922/RIDFXXVII/KC/21-22/63,2022_DAASC_26089_18,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"1,700",Nil,Nil,No,1.0,SBI Bank,"Construction of Knowledge Centre with training Hall under RIDF-XXVII at BRC Campus, Howly District-Barpeta","Construction of Knowledge Centre with training Hall under RIDF-XXVII at BRC Campus, Howly District-Barpeta",Refer as tender documents ,NA ,"85,26,021",Civil Works,NA ,Tender,90.0,180.0,Barpeta,781301.0,NA ,NA ,NA ,"O/o the Chief Engineer, Agriculture, Assam",No ,No,Director of Agriculture,"Assam, Khanapara, Guwahati-22",AOC,Finance,Financial cover is opened and processed for evaluation,NEELAKSHI BAITHURI,09-Sep-2022 01:20 PM,,BOQ Comparative Chart,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIASS etc.",Upasana Devi,07-Nov-2022 04:20 PM,finsummary_40278.pdf (5445.98 KB),Technical,Technical cover is opened and processed for evaluation,Upasana Devi,16-Jul-2022 03:30 PM,,1.0,153534.0,SAFIKUL ISLAM,INR,6812200.0,08-Dec-2022,INR 6812200.0,180.0,Upasana Devi,28-Dec-2022 11:29 AM,Howly.pdf (548.00 KB),As per DBC minutes,1,153684,ANOWAR HUSSAIN,15-Jul-2022 01:36 PM,Rejected-Technical,As per DBC minutes,05-Sep-2022 03:58 PM,DoA,Internal,"DoH, Sr. FAO, MD-Seeds, PME-ARIASS etc.",Upasana Devi,05-Sep-2022 03:58 PM,09-Sep-2022 10:00 AM,techsummary_40278.pdf (7056.01 KB),Directorate of Agriculture and Assam Seed Corporation,2022_DAASC_26089_18,A/E/4922/RIDFXXVII/KC/21-22/63,"Construction of Knowledge Centre with training Hall under RIDF-XXVII at BRC Campus, Howly District-Barpeta",AOC
,,,,,,,,,,,,,,,,,.pdf,Scan copy of Technical Documents Part-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,153339,BHUPEN DAIMARY,15-Jul-2022 01:54 PM,Rejected-Technical,As per DBC minutes,05-Sep-2022 03:58 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,153507,Biren Deka,14-Jul-2022 12:43 PM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form o f Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,153641,DIP JYOTI ROY,15-Jul-2022 12:04 PM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,153679,Hitesh Kumar Das,15-Jul-2022 02:08 PM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,152489,Jagadish Choudhury,15-Jul-2022 08:12 AM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,153373,MD. AZADUR RAHMAN,15-Jul-2022 02:39 PM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,153646,MS Clarion Projects,14-Jul-2022 10:57 PM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,153438,Rajib Ahmed,14-Jul-2022 01:13 PM,Rejected-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,153534,SAFIKUL ISLAM,15-Jul-2022 12:50 PM,Accepted-AOC,As per DBC minutes,28-Dec-2022 11:30 AM,,,,,,,,,,,,AOC
