Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Executive Engineer Bhoranj Division HP.PWD Bhoranj,Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,07-Jun-2022 03:40 PM,finsummary_89916.pdf (682.26 KB),01-Dec-2022,"INR 8,285,958",90.0,Arvind Lakhanpal,01-Dec-2022 02:22 PM,59409.pdf (920.00 KB),Work awarded to Anagya Vrma Pvt Ltd vide letter No. 1886-91 dt. 25.06.2022,PWD,2022_PWD_59409_1,No. 85 dated 02-04-2022,Construction of type II quarter 4 Nos for HPPWD employees at Bhoranj Distt. Hamirpur SH C.O building portion water supply sanitary installation septic tank and site development including boundary wall,Executive Engineer Bhoranj Division HP.PWD Bhoranj,Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Arvind Lakhanpal,21-Apr-2022 04:51 PM,23-Apr-2022 11:30 AM,techsummary_89916.pdf (968.18 KB),Technical,Technical bid,Arvind Lakhanpal,21-Apr-2022 04:49 PM,technical_89916.pdf,1.0,278048.0,Anagya Verma Consulting Private Limited,18-Apr-2022 01:27 PM,Accepted-AOC,L1,01-Dec-2022 02:22 PM,1.0,278048.0,Anagya Verma Consulting Private Limited,INR,"8,285,958",Finance,BOQ summary attached,Arvind Lakhanpal,07-Jun-2022 03:36 PM,finance_89916.pdf,BOQ Comparative Chart,AOC,"Executive Engineer Bhoranj Division, HP.PWD., Bhor","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",PWD,No. 85 dated 02-04-2022,2022_PWD_59409_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,22,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,Construction of type II quarter 4 Nos for HPPWD employees at Bhoranj Distt. Hamirpur SH C.O building portion water supply sanitary installation septic tank and site development including boundary wall,Construction of type II quarter 4 Nos for HPPWD employees at Bhoranj Distt. Hamirpur SH C.O building portion water supply sanitary installation septic tank and site development including boundary wall,Please refer Tender documents. ,NA ,"90,31,392",Civil Works - Buildings,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,"Executive Engineer Bhoranj Division, HP.PWD., Bhor",No ,No,"2,000",Nil,Nil,Yes,11-Apr-2022 09:00 AM,19-Apr-2022 11:30 AM,11-Apr-2022 09:00 AM,19-Apr-2022 10:30 AM,NA ,NA ,11-Apr-2022 09:00 AM,19-Apr-2022 10:30 AM,23-Apr-2022 11:30 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278196.0,Ramesh Chand Govt. Contractor,18-Apr-2022 04:22 PM,Rejected-Finance,document attached,07-Jun-2022 03:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate not less than 40 percent of estimated cost on prescribed format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
