Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_60981_1,1MC-Palam(1)2022-36,P/F Tubular type Retro-reflective (U shape) overhead Signage board at W. no. 11 Rajpur in Tehsil Palampur Distt. Kangra.,1.0,286467.0,VISHESH GUPTA,INR,"546,242",Commissioner,Internal,"Jt. Commissioner, Assistant Engineer, Junior Engineer",Kalyan Bhatt,28-Dec-2022 12:57 PM,finsummary_92047.pdf (718.73 KB),28-Dec-2022,"INR 546,242",90.0,Kalyan Bhatt,28-Dec-2022 01:05 PM,CCF_000118.pdf (1037.00 KB),work awarded,Finance,financial bid opening summary,Kalyan Bhatt,22-Jun-2022 11:16 AM,finance_92047.pdf,BOQ Comparative Chart,Technical,opening summary,Kalyan Bhatt,20-Jun-2022 11:56 AM,technical_92047.pdf,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,20-Jun-2022 02:30 PM,21-Jun-2022 11:30 AM,techsummary_92047.pdf (432.66 KB),1.0,286393.0,DOLORARTZ PRIVATE LIMITED,11-Jun-2022 11:01 PM,Rejected-Finance,Being L4,28-Dec-2022 12:57 PM,AOC,P/F Tubular type Retro-reflective (U shape) overhead Signage board at W. no. 11 Rajpur in Tehsil Palampur Distt. Kangra.,P/F Tubular type Retro-reflective (U shape) overhead Signage board at W. no. 11 Rajpur in Tehsil Palampur Distt. Kangra.,Please refer Tender documents. ,NA ,"6,83,820",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,25-May-2022 05:00 PM,13-Jun-2022 03:00 PM,25-May-2022 05:00 PM,13-Jun-2022 10:30 AM,NA ,NA ,25-May-2022 05:00 PM,13-Jun-2022 10:30 AM,21-Jun-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,1.0,DD - Demand Draft,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-36,2022_UDDHP_60981_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Commissioner,MC Palampur,No,Commissioner,Commissioner MC Palampur,"14,000",No,fixed,,Commissioner,MC Palampur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285981.0,M/s OM PARKASH,08-Jun-2022 07:35 PM,Rejected-Finance,Being L2,28-Dec-2022 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,286415.0,Nirmal Associates,12-Jun-2022 01:51 PM,Rejected-Finance,Being L3,28-Dec-2022 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,286237.0,SUNIL KUMAR,10-Jun-2022 11:17 PM,Rejected-Finance,Being L6,28-Dec-2022 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,286450.0,Tilak Painter,12-Jun-2022 06:58 PM,Rejected-Finance,Being L7,28-Dec-2022 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,285917.0,VISHAL KUMAR,08-Jun-2022 02:46 PM,Rejected-Finance,Being L5,28-Dec-2022 12:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,286467.0,VISHESH GUPTA,12-Jun-2022 07:20 PM,Accepted-AOC,Being L1,28-Dec-2022 01:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
