Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,01-Jun-2021 03:04 PM,finsummary_64965.pdf (483.94 KB),02-Dec-2022,"INR 81,982,636.22",910.0,Manish Sehgal,14-Jun-2023 03:30 PM,AOC.pdf (411.00 KB),AOC,PWD,2021_PWD_43661_1,C/o Govt. Polytechnic Building Sullah at Parour,Construction of Govt. Polytechnic Building Sullah at Parour (Block-A) (Administrative Block),Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,05-Feb-2021 01:14 PM,08-Feb-2021 11:30 AM,techsummary_64965.pdf (1077.65 KB),Technical,Bid opening summary,Manish Sehgal,05-Feb-2021 01:10 PM,technical_64965.pdf,1.0,196019.0,Ashwani Sood,26-Jan-2021 06:54 PM,Rejected-AOC,Bid Rank-L3,14-Jun-2023 03:31 PM,1.0,195994.0,Pawan Kumar,INR,"81,982,636",Finance,Bid opening summary,Manish Sehgal,01-Jun-2021 02:56 PM,finance_64965.pdf,BOQ Comparative Chart,AOC,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,DD - Demand Draft,13-Jan-2021 04:00 PM,27-Jan-2021 11:30 AM,13-Jan-2021 04:30 PM,27-Jan-2021 11:00 AM,NA ,NA ,13-Jan-2021 05:00 PM,27-Jan-2021 11:00 AM,08-Feb-2021 11:30 AM,"5,00,000",No,fixed,,EE Bhawarna,Bhawarna,Construction of Govt. Polytechnic Building Sullah at Parour (Block-A) (Administrative Block),C/o main building i/c water supply sanitary installation and rain water harvesting system,Please refer Tender documents. ,NA ,"7,65,32,550",Civil Works - Buildings,NA ,Tender,120.0,910.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,PWD,C/o Govt. Polytechnic Building Sullah at Parour,2021_PWD_43661_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EE Bhawarna,Bhawarna,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,196001.0,M/s Surindera Traders,26-Jan-2021 05:09 PM,Rejected-AOC,Bid Rank-L2,14-Jun-2023 03:31 PM,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,195994.0,Pawan Kumar,27-Jan-2021 09:40 AM,Accepted-AOC,Bid Rank-L1,14-Jun-2023 03:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,196016.0,Prashanti Surya Construction Company,26-Jan-2021 05:27 PM,Rejected-AOC,Bid Rank-L4,14-Jun-2023 03:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,196020.0,Ujjawal Singh,26-Jan-2021 07:58 PM,Rejected-Technical,Non-Responsive,05-Feb-2021 01:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly signed by CA.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,AOC
