Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62893_1,1MC-Palam(1)2022-20,P/L CC Paver to path beside Baghala Petrol pump to Aggrwal house or Palam Gas side in W.No 03 Palampur.,1.0,295976.0,TUSHAR GOEL,INR,"843,600",Commissioner,Internal,"Jt. Commissioner, Assistant Engineer, Junior Engineer",Kalyan Bhatt,29-Dec-2022 01:27 PM,finsummary_94859.pdf (592.34 KB),29-Dec-2022,"INR 843,600",90.0,Kalyan Bhatt,29-Dec-2022 01:28 PM,CCF_000130.pdf (986.00 KB),Work Awarded,Finance,financial bid opening summary,Kalyan Bhatt,24-Aug-2022 04:55 PM,finance_94859.pdf,BOQ Comparative Chart,Technical,bid opening summary,Kalyan Bhatt,23-Aug-2022 11:53 AM,technical_94859.pdf,commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,24-Aug-2022 01:13 PM,24-Aug-2022 02:30 PM,techsummary_94859.pdf (352.62 KB),1.0,295970.0,kamakshi Enterprises,16-Aug-2022 07:08 PM,Rejected-Finance,Being L2,29-Dec-2022 01:27 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,Commissoner,MC Palampur,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-20,2022_UDDHP_62893_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"16,600",No,fixed,,Commissioner,MC Palampur,P/L CC Paver to path beside Baghala Petrol pump to Aggrwal house or Palam Gas side in W.No 03 Palampur.,P/L CC Paver to path beside Baghala Petrol pump to Aggrwal house or Palam Gas side in W.No 03 Palampur.,Please refer Tender documents. ,NA ,"8,05,758",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,1.0,DD - Demand Draft,Commissioner,Commissioner MC Palampur,25-Jul-2022 05:00 PM,17-Aug-2022 03:00 PM,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,NA ,NA ,25-Jul-2022 05:00 PM,17-Aug-2022 10:30 AM,24-Aug-2022 02:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,295560.0,Manoj Kumar,16-Aug-2022 04:36 PM,Rejected-Finance,Being L3,29-Dec-2022 01:27 PM,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,296010.0,M/s OM PARKASH,16-Aug-2022 11:26 PM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,23-Aug-2022 11:53 AM,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,295963.0,RAJESH KUMAR,16-Aug-2022 07:24 PM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,23-Aug-2022 11:53 AM,AOC,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,295920.0,Tilak Painter,16-Aug-2022 04:27 PM,Not Admitted-Fee/PreQual/Technical,Others-original document not recived,23-Aug-2022 11:53 AM,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,295976.0,TUSHAR GOEL,16-Aug-2022 07:27 PM,Accepted-AOC,Being L1,29-Dec-2022 01:28 PM,AOC,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
