Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Attached,Dev Raj,20-Jul-2022 12:17 PM,None,BOQ Comparative Chart,1.0,290185.0,Royal build Home,INR,"4,966,324.02",Technical,Attached,Dev Raj,13-Jul-2022 10:50 AM,technical_93824.pdf,1.0,289400.0,AJINDER THAKUR,06-Jul-2022 10:03 AM,Rejected-Technical,Non Responsive,13-Jul-2022 10:53 AM,13-Dec-2022,"INR 4,941,749",270.0,Dev Raj,13-Dec-2022 11:35 AM,A.O.C.pdf (1634.00 KB),Award Letter,Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Dev Raj,20-Jul-2022 12:21 PM,finsummary_93824.pdf (335.60 KB),Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,13-Jul-2022 10:53 AM,13-Jul-2022 03:30 PM,techsummary_93824.pdf (775.13 KB),PWD,2022_PWD_62204_1,C/O VETENARY HOSPITAL BUILDING AT BIJHARI DISTRICT,C/O VETENARY HOSPITAL BUILDING AT BIJHARI DISTRICT HAMIRUR H.P.,AOC,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,PWD,C/O VETENARY HOSPITAL BUILDING AT BIJHARI DISTRICT,2022_PWD_62204_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O VETENARY HOSPITAL BUILDING AT BIJHARI DISTRICT HAMIRUR H.P.,"C/O BUILDING PORTION INCLUDING W.S. and S.I., SEPTIC TANK AND RAIN WATER HARVESTING TANK) (UNDER S.C.S.P. DEPOSIT HEAD)",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,270.0,Barsar,178305.0,NA ,NA ,NA ,EE Barsar,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,29-Jun-2022 10:30 AM,06-Jul-2022 11:30 AM,29-Jun-2022 10:30 AM,06-Jul-2022 10:30 AM,NA ,NA ,29-Jun-2022 10:30 AM,06-Jul-2022 10:30 AM,13-Jul-2022 03:30 PM,"2,000",Nil,Nil,No,"91,900",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2.0,289910.0,Devender Kumar,04-Jul-2022 12:56 PM,Rejected-Finance,L1L2,20-Jul-2022 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,290185.0,Royal build Home,05-Jul-2022 07:36 PM,Accepted-AOC,L1,13-Dec-2022 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery as per SBD with proof tools and plant with ownership documents/ Affidavit Magis,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Last Five Years Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,AOC
