Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,financial bid opening summary,Kalyan Bhatt,24-Aug-2022 05:02 PM,finance_95779.pdf,BOQ Comparative Chart,Technical,bid opening summary,Kalyan Bhatt,22-Aug-2022 05:35 PM,technical_95779.pdf,29-Dec-2022,"INR 424,847.2",90.0,Kalyan Bhatt,29-Dec-2022 05:00 PM,CCF_000158.pdf (1002.00 KB),work Awarded,commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,24-Aug-2022 01:24 PM,24-Aug-2022 02:30 PM,techsummary_95779.pdf (401.70 KB),1.0,296508.0,DOLORARTZ PRIVATE LIMITED,21-Aug-2022 12:59 PM,Rejected-Finance,Being L3,29-Dec-2022 04:58 PM,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_62981_2,1MC-Palam(1)2022-41,Providing and fixing 1Nos High Mast 16 Mtr. Pole with 6Nos LED Flood light at Rajpur Chowk W.o.11 MC Palampur.,1.0,296781.0,Kumar Enterprises,INR,"424,847.2",Commissioner,Internal,"Jt. Commissioner , Assistant Engineer, Junior Engineer",Kalyan Bhatt,29-Dec-2022 04:58 PM,finsummary_95779.pdf (606.85 KB),AOC,Commissioner,Commissioner MC Palampur,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,Commissioner,MC Palampur,Yes,10-Aug-2022 05:00 PM,22-Aug-2022 03:00 PM,10-Aug-2022 05:00 PM,22-Aug-2022 10:30 AM,NA ,NA ,10-Aug-2022 05:00 PM,22-Aug-2022 10:30 AM,24-Aug-2022 02:30 PM,"12,000",No,fixed,,Commissioner,MC Palampur,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-41,2022_UDDHP_62981_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Providing and fixing 1Nos High Mast 16 Mtr. Pole with 6Nos LED Flood light at Rajpur Chowk W.o.11 MC Palampur.,Providing and fixing 1Nos High Mast 16 Mtr. Pole with 6Nos LED Flood light at Rajpur Chowk W.o.11 MC Palampur.,Please refer Tender documents. ,NA ,"5,94,000",Electrical Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,296781.0,Kumar Enterprises,21-Aug-2022 11:01 PM,Accepted-AOC,Being L1,29-Dec-2022 05:00 PM,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,296709.0,M/s OM PARKASH,21-Aug-2022 10:50 AM,Rejected-Finance,Being L7,29-Dec-2022 04:58 PM,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,296697.0,pankaj saini,20-Aug-2022 07:56 PM,Rejected-Finance,Being L5,29-Dec-2022 04:58 PM,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,5.0,296668.0,SANJAY KUMAR JASWAL GOVT.CONTRACTOR,20-Aug-2022 06:13 PM,Rejected-Finance,Being L6,29-Dec-2022 04:58 PM,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,6.0,296765.0,subhash and sons,22-Aug-2022 06:32 AM,Rejected-Finance,Being L4,29-Dec-2022 04:58 PM,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,7.0,296696.0,TANUJ SHARMA,22-Aug-2022 10:15 AM,Rejected-Finance,Being L2,29-Dec-2022 04:58 PM,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
