Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Installation of LED Street light in and around Greater Pandu area (Part-A) (Ward No. 04) under Jalukbari LAC,Installation of LED Street light in and around Greater Pandu area (Part-A) (Ward No. 04) under Jalukbari LAC,Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,90.0,NA ,PANBAZAR GUWAHATI,781001.0,NA ,NA ,NA ,"Office of the Guwahati Municipal Corporation,",No ,No,Guwahati Municipal Corporation,GER/CE/1837/2020/15 Dated 09/12/2020,2020_GMC_19620_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,"3,44,000",Yes,fixed,,GMC,Guwahati,"5,000",The Commissioner GMC,Guwahati,No,1.0,Time extension 3,Date,,1.0,Fee/PreQual/Technical,.pdf,FEES,1.0,DD - Demand Draft,The Commissioner GMC,"Office of the Guwahati Municipal Corporation,Panbazar, Guwahati.",14-Dec-2020 02:00 PM,05-Feb-2021 03:00 PM,14-Dec-2020 02:00 PM,05-Feb-2021 02:00 PM,NA ,NA ,14-Dec-2020 02:00 PM,05-Feb-2021 02:00 PM,25-Feb-2021 11:00 AM,AOC,Finance,Financial Bids submitted by the bidders have been considered for further Evaluation.,MANOJIT BUJARBARUAH,25-Feb-2021 01:46 PM,finance_30377.pdf,BOQ Comparative Chart,Guwahati Municipal Corporation,2020_GMC_19620_1,GER/CE/1837/2020/15 Dated 09/12/2020,Installation of LED Street light in and around Greater Pandu area (Part-A) (Ward No. 04) under Jalukbari LAC,COMMISSIONER,Internal,"Chief Engineer, Chief Account Audit Officer, Divisional Engineer",MANOJIT BUJARBARUAH,10-May-2021 04:47 PM,finsummary_30377.pdf (27.46 KB),Technical,Cost of Bid documents / Bid Security / Technical Bids submitted by the bidders have been considered for further Evaluation.,MANOJIT BUJARBARUAH,09-Feb-2021 11:50 AM,technical_30377.pdf,11-May-2021,INR 1.548E+7,180.0,Nabajyoti Bordoloi,28-Dec-2022 02:43 PM,APACK.pdf (118.00 KB),Installation of LED Street light in and around Greater Pandu area (Part-A) (Ward No. 04) under Jalukbari LAC,Commissioner,Internal,"CHIEF ENGINEER, CAAO, DIVISIONAL ENGINEER",MANOJIT BUJARBARUAH,24-Feb-2021 03:34 PM,25-Feb-2021 11:00 AM,techsummary_30377.pdf (34.65 KB),1,102756,Assam Electricals,05-Feb-2021 01:24 PM,Rejected-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,1.0,100870.0,Bhabani Performer,INR,15480000.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ESTIMATE,Technical Bid,,,,.pdf,EMD,2.0,BC - Bankers Cheque,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100870,Bhabani Performer,04-Feb-2021 06:02 PM,Accepted-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,102690,Build worth Trade Engineers,04-Feb-2021 01:45 PM,Rejected-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOC,4.0,DCR - Deposit at call receipt,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,101034,KUBER CONSTRUCTION AND COMMUNICATION,29-Dec-2020 11:50 AM,Rejected-Finance,LESS THAN 10 PERCENT,10-May-2021 04:47 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,104480,Lekki Industries,01-Feb-2021 11:02 AM,Rejected-Technical,HARD COPY NOT SUBMITTED,24-Feb-2021 03:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,103514,MAKIND ENTERPRISES,05-Feb-2021 12:19 PM,Rejected-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,102697,M/S Assam Electric Store,05-Feb-2021 10:05 AM,Rejected-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,102747,M/S N.E. Infra,04-Feb-2021 03:55 PM,Rejected-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,100960,MS Shiv Shakti Construction,18-Jan-2021 06:54 PM,Rejected-Finance,LESS THAN 10 PERCENT,10-May-2021 04:47 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,102702,VERSHA TECHNOTRADE PVT LTD,05-Feb-2021 09:28 AM,Rejected-AOC,Allotted to L1 Bidder,28-Dec-2022 02:45 PM,,,,,,AOC
