Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bid opening summary,Manish Sehgal,11-Nov-2021 03:02 PM,technical_78639.pdf,1.0,239500.0,M/s Kamala Enterprises,06-Oct-2021 03:17 PM,Accepted-AOC,Bidder Rank-L1,26-Dec-2022 03:21 PM,Finance,Summary,Manish Sehgal,26-Dec-2022 03:18 PM,finance_78639.pdf,BOQ Comparative Chart,1.0,239500.0,M/s Kamala Enterprises,INR,"3,907,532",26-Dec-2022,"INR 4,114,391",90.0,Manish Sehgal,26-Dec-2022 03:21 PM,AOC.pdf (303.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,26-Dec-2022 03:19 PM,finsummary_78639.pdf (124.61 KB),Sh Manish Sehgal,Internal,Anup Sood AE Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,11-Nov-2021 03:04 PM,11-Nov-2021 03:30 PM,techsummary_78639.pdf (901.60 KB),PWD,2021_PWD_52597_1,NIT NO.13967-14026 DT.21.09.2021-BHAWARNA,Providing and laying Annual Surfacing (Preiodic Maintenance) on Lahar Tara Jajjar Har Baral road Km 0/0 to 3/0 under Rural roads in the state of HP,AOC,23-Sep-2021 10:00 AM,07-Oct-2021 11:30 AM,23-Sep-2021 10:05 AM,07-Oct-2021 11:00 AM,NA ,NA ,23-Sep-2021 10:30 AM,07-Oct-2021 11:00 AM,11-Nov-2021 03:30 PM,PWD,NIT NO.13967-14026 DT.21.09.2021-BHAWARNA,2021_PWD_52597_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Providing and laying Annual Surfacing (Preiodic Maintenance) on Lahar Tara Jajjar Har Baral road Km 0/0 to 3/0 under Rural roads in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km 0/0 to 3/0,Please refer Tender documents. ,NA ,"26,31,710",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form to be submitted through online.,"47,000",No,fixed,,Nil,Nil,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,1.0,ICICI BANK,"1,500",Nil,Nil,No,AOC
,,,,,2.0,238919.0,Navneet Thakur,06-Oct-2021 02:13 PM,Rejected-Technical,Non-Responsive,11-Nov-2021 03:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money submitted through online duly pledged in favour of Executive Engineer, Bhawarna Divisi",,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,3.0,239940.0,Sanjeev,06-Oct-2021 09:34 PM,Rejected-Finance,Bidder Rank-L2,26-Dec-2022 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
