Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,2022_UDDHP_61138_1,1MC-Palam(1)2022-(18),C/o honey Comb Pits for S.W.M Plant at Aima in W.no.04,1.0,286903.0,sahil kumar,INR,"1,060,007.35",Commissioner,Internal,"Joint Commissioner, Assistant Engineer, Junior Engineer",Kalyan Bhatt,29-Dec-2022 03:13 PM,finsummary_92279.pdf (626.47 KB),1.0,286872.0,kamakshi Enterprises,14-Jun-2022 05:51 PM,Rejected-Finance,Being L3,29-Dec-2022 03:13 PM,Commissioner,Internal,"JC,AE,JE",Kalyan Bhatt,24-Jun-2022 05:36 PM,25-Jun-2022 02:30 PM,techsummary_92279.pdf (399.29 KB),Technical,bid opening summary,Kalyan Bhatt,22-Jun-2022 09:56 AM,technical_92279.pdf,Finance,Financial bid opening summary,Kalyan Bhatt,28-Jun-2022 02:48 PM,finance_92279.pdf,BOQ Comparative Chart,29-Dec-2022,"INR 1,060,007.35",90.0,Kalyan Bhatt,29-Dec-2022 03:15 PM,CCF_000148.pdf (1043.00 KB),Work awarded,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,Commissioner,MC Palampur,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Corporation Palampur,1MC-Palam(1)2022-(18),2022_UDDHP_61138_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,C/o honey Comb Pits for S.W.M Plant at Aima in W.no.04,C/o honey Comb Pits for S.W.M Plant at Aima in W.no. 04,Please refer Tender documents. ,NA ,"9,95,100",Civil Works,NA ,Tender,90.0,90.0,Palampur,176061.0,NA ,NA ,NA ,MC Palampur,No ,No,01-Jun-2022 05:00 PM,15-Jun-2022 03:00 PM,01-Jun-2022 05:00 PM,15-Jun-2022 10:30 AM,NA ,NA ,01-Jun-2022 05:00 PM,15-Jun-2022 10:30 AM,25-Jun-2022 02:30 PM,"20,000",No,fixed,,Commissioner,MC Palampur,Commissioner,Commissioner MC Palampur,AOC
,,,,,,,,,,,,,,,2.0,286903.0,sahil kumar,14-Jun-2022 10:14 PM,Accepted-AOC,Being L1,29-Dec-2022 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,286863.0,TUSHAR GOEL,14-Jun-2022 05:25 PM,Rejected-Finance,Being L2,29-Dec-2022 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted M C Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
